replication,seed,mechanismID,mechanismLabel,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
12,12,M0_minimal,M0 Minimal adaptation,baseline,Baseline,99.4199503355173,453.850212574114,3064.15467703946,0,2955,1516,1439
12,12,M1_choice,M1 + Softmax choice,baseline,Baseline,87.8564519429284,453.850212574114,3064.15467703946,0,4202,1118,3084
12,12,M2_frictions,M2 + Switching costs,baseline,Baseline,96.4723519466842,453.850212574114,3064.15467703946,0,2759,1066,1693
12,12,M3_recovery,M3 + Recovery,baseline,Baseline,124.793261949587,345.443581148862,2297.79646656909,124,2984,1153,1831
12,12,M4_regulation,M4 + Regulation,baseline,Baseline,124.793261949587,345.443581148862,2297.79646656909,124,2984,1153,1831
12,12,M4_regulation,M4 + Regulation,coordinated,Coordinated,113.776197444,248.738504739343,1711.34651129282,242,4901,1695,3206
12,12,M5_timing,M5 + Policy timing,baseline,Baseline,124.793261949587,345.443581148862,2297.79646656909,124,2984,1153,1831
12,12,M5_timing,M5 + Policy timing,early_mover,Early Mover,118.745754043717,247.530028422986,1680.700629958,263,4946,1660,3286
12,12,M5_timing,M5 + Policy timing,sequential,Sequential,116.749225511542,234.255107133147,1606.19756887052,278,5130,1740,3390
12,12,M5_timing,M5 + Policy timing,coordinated,Coordinated,113.776197444,248.738504739343,1711.34651129282,242,4901,1695,3206
12,12,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,115.645232640877,231.096802748487,1614.85676375492,264,5023,1727,3296
13,13,M0_minimal,M0 Minimal adaptation,baseline,Baseline,99.6248802133362,449.880579186967,2955.35737166146,0,2876,1493,1383
13,13,M1_choice,M1 + Softmax choice,baseline,Baseline,93.629411297671,449.880579186967,2955.35737166146,0,3813,1172,2641
13,13,M2_frictions,M2 + Switching costs,baseline,Baseline,101.694560291342,449.880579186967,2955.35737166146,0,2494,1062,1432
13,13,M3_recovery,M3 + Recovery,baseline,Baseline,126.648445085528,338.366618841938,2231.03247443756,128,2959,1156,1803
13,13,M4_regulation,M4 + Regulation,baseline,Baseline,126.648445085528,338.366618841938,2231.03247443756,128,2959,1156,1803
13,13,M4_regulation,M4 + Regulation,coordinated,Coordinated,119.656139569236,225.771151368017,1554.86654466827,294,4999,1788,3211
13,13,M5_timing,M5 + Policy timing,baseline,Baseline,126.648445085528,338.366618841938,2231.03247443756,128,2959,1156,1803
13,13,M5_timing,M5 + Policy timing,early_mover,Early Mover,119.687615592232,237.997657426957,1620.8387855598,267,4922,1770,3152
13,13,M5_timing,M5 + Policy timing,sequential,Sequential,118.729789024393,226.348829983703,1567.54573429963,280,5048,1872,3176
13,13,M5_timing,M5 + Policy timing,coordinated,Coordinated,119.656139569236,225.771151368017,1554.86654466827,294,4999,1788,3211
13,13,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,117.688665575214,230.979906815449,1578.87690702811,281,4983,1825,3158
14,14,M0_minimal,M0 Minimal adaptation,baseline,Baseline,101.649884041136,448.087791322867,3034.95799727473,0,2973,1354,1619
14,14,M1_choice,M1 + Softmax choice,baseline,Baseline,95.1679965015156,448.087791322866,3034.95799727473,0,3811,1487,2324
14,14,M2_frictions,M2 + Switching costs,baseline,Baseline,102.721542024337,448.087791322866,3034.95799727473,0,2548,1161,1387
14,14,M3_recovery,M3 + Recovery,baseline,Baseline,128.364915885611,335.488980749225,2263.49543785668,101,2720,1155,1565
14,14,M4_regulation,M4 + Regulation,baseline,Baseline,128.364915885611,335.488980749225,2263.49543785668,101,2720,1155,1565
14,14,M4_regulation,M4 + Regulation,coordinated,Coordinated,118.727963490732,250.652949553469,1683.37030662058,267,4635,1709,2926
14,14,M5_timing,M5 + Policy timing,baseline,Baseline,128.364915885611,335.488980749225,2263.49543785668,101,2720,1155,1565
14,14,M5_timing,M5 + Policy timing,early_mover,Early Mover,122.942604399601,249.877426460891,1703.56970362338,241,4594,1718,2876
14,14,M5_timing,M5 + Policy timing,sequential,Sequential,117.007174846521,251.160031954886,1703.86392047217,249,4520,1715,2805
