replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
24,24,early_mover,Early Mover,122.368893741589,236.980494461625,231.562218653051,-5.41827580857333,1613.29923121466,5109
24,24,sequential,Sequential,119.8135993694,233.744944761451,219.148606184886,-14.5963385765648,1572.78381488757,4917
24,24,coordinated,Coordinated,114.558249313657,245.95400447285,226.994104947369,-18.9598995254812,1663.86185943907,4639
24,24,delayed_coordination,Delayed Coordination,120.053199779659,226.604580379117,221.810023385665,-4.79455699345186,1554.61323419467,5066
25,25,baseline,Baseline,125.003551274217,358.053103657288,319.289994601921,-38.7631090553672,2274.83984381401,3119
25,25,early_mover,Early Mover,117.127407957176,296.561690578924,276.546565251273,-20.0151253276513,1777.19938696453,4558
25,25,sequential,Sequential,116.824001790003,287.940969156219,271.027192810955,-16.913776345264,1689.11254899481,4680
25,25,coordinated,Coordinated,118.376375197177,298.300583314569,271.542333601741,-26.7582497128278,1712.36995155742,4627
25,25,delayed_coordination,Delayed Coordination,113.615823804865,293.730326051253,275.36080282858,-18.3695232226731,1749.07959242579,4466
26,26,baseline,Baseline,126.589364306853,357.457657755834,339.415438740998,-18.0422190148362,2404.22428334785,2616
26,26,early_mover,Early Mover,123.932669079424,254.94347426154,248.441030787466,-6.50244347407428,1711.75538128727,4551
26,26,sequential,Sequential,123.844012931589,234.614772413392,234.93492550744,0.320153094047924,1618.11114364675,4735
26,26,coordinated,Coordinated,122.276480674746,238.223071479237,244.260767075617,6.03769559638008,1665.90865436315,4606
26,26,delayed_coordination,Delayed Coordination,126.214547936605,239.235772188226,239.65938898566,0.423616797434477,1615.37422035245,4793
27,27,baseline,Baseline,127.218542208159,337.484915938539,339.952085527084,2.467169588545,2260.76550796118,3134
27,27,early_mover,Early Mover,124.942508454319,233.079592442313,241.200565657515,8.12097321520235,1625.23261335279,5202
27,27,sequential,Sequential,119.536976880294,229.318130369392,230.938765661135,1.6206352917433,1599.32288858309,5031
27,27,coordinated,Coordinated,116.461788228904,245.122828206648,241.777158404934,-3.34566980171471,1626.06125054267,5001
27,27,delayed_coordination,Delayed Coordination,119.476320303329,231.309154838792,227.576911646161,-3.73224319263076,1591.45491273148,5155
28,28,baseline,Baseline,124.742255646002,353.986643361903,355.80430254579,1.81765918388692,2353.77302576447,2500
28,28,early_mover,Early Mover,119.361318350245,256.844619232172,229.394756280333,-27.4498629518391,1674.036246878,4498
28,28,sequential,Sequential,119.839597635881,244.924963745588,220.774548337146,-24.1504154084414,1584.72421649941,4698
28,28,coordinated,Coordinated,114.696181704681,252.35026380957,230.715999444425,-21.6342643651446,1677.90604791742,4499
