replication,seed,scenario_id,delta_final_risk_vs_permuted_baseline
60,60,coordinated,-104.769942763179
60,60,delayed_coordination,-114.445722830565
61,61,baseline,0
61,61,early_mover,-127.497200264626
61,61,sequential,-134.968065631624
61,61,coordinated,-112.664101659971
61,61,delayed_coordination,-125.870502034774
62,62,baseline,0
62,62,early_mover,-95.0836014997369
62,62,sequential,-101.880183380706
62,62,coordinated,-83.0099685188125
62,62,delayed_coordination,-94.2814703492162
63,63,baseline,0
63,63,early_mover,-103.551236648772
63,63,sequential,-109.047832046859
63,63,coordinated,-105.161364211969
63,63,delayed_coordination,-121.584266510919
64,64,baseline,0
64,64,early_mover,-92.9275596224386
64,64,sequential,-98.206658457531
64,64,coordinated,-85.3561434248986
64,64,delayed_coordination,-90.9739287840001
65,65,baseline,0
65,65,early_mover,-126.894224507194
65,65,sequential,-124.232293310026
65,65,coordinated,-99.2448380658019
65,65,delayed_coordination,-138.30835432033
66,66,baseline,0
66,66,early_mover,-129.458284507671
66,66,sequential,-142.643734535709
66,66,coordinated,-123.268095412748
66,66,delayed_coordination,-137.208584946086
67,67,baseline,0
67,67,early_mover,-151.405092576592
67,67,sequential,-159.027649236687
67,67,coordinated,-146.339319721107
67,67,delayed_coordination,-161.713540794866
68,68,baseline,0
68,68,early_mover,-106.775172852175
68,68,sequential,-134.546041589296
68,68,coordinated,-123.107947547404
68,68,delayed_coordination,-134.092161429512
69,69,baseline,0
69,69,early_mover,-118.153731069
69,69,sequential,-132.526302523764
69,69,coordinated,-133.047963738384
69,69,delayed_coordination,-130.857124172696
70,70,baseline,0
70,70,early_mover,-99.9555077474114
70,70,sequential,-119.233325754064
70,70,coordinated,-120.896404577863
70,70,delayed_coordination,-113.35331494698
71,71,baseline,0
71,71,early_mover,-88.1368357512002
71,71,sequential,-85.6288837444333
71,71,coordinated,-86.0072840949888
71,71,delayed_coordination,-87.2817163859598
72,72,baseline,0
72,72,early_mover,-122.662901739531
72,72,sequential,-115.77989209984
72,72,coordinated,-110.016498289648
72,72,delayed_coordination,-129.663170386506
73,73,baseline,0
73,73,early_mover,-72.5861598158019
73,73,sequential,-78.7679254484548
73,73,coordinated,-60.7792603906005
73,73,delayed_coordination,-76.2192608427455
74,74,baseline,0
74,74,early_mover,-112.477291773237
74,74,sequential,-99.3171018770782
74,74,coordinated,-107.818174706717
74,74,delayed_coordination,-118.564644356244
75,75,baseline,0
75,75,early_mover,-92.2361018187294
75,75,sequential,-99.7512410610974
75,75,coordinated,-123.664514585278
75,75,delayed_coordination,-93.1498338008151
76,76,baseline,0
76,76,early_mover,-115.808899220812
76,76,sequential,-128.660810634399
76,76,coordinated,-127.555984269884
76,76,delayed_coordination,-133.708380459277
77,77,baseline,0
77,77,early_mover,-150.707605901781
77,77,sequential,-151.328103731373
77,77,coordinated,-143.171275748721
77,77,delayed_coordination,-156.045967438631
78,78,baseline,0
78,78,early_mover,-90.0426142167605
78,78,sequential,-97.0814235296424
78,78,coordinated,-91.3169452018488
78,78,delayed_coordination,-95.2879242839805
79,79,baseline,0
79,79,early_mover,-122.630199775886
79,79,sequential,-128.89081143496
79,79,coordinated,-126.141554101644
79,79,delayed_coordination,-136.639516447264
80,80,baseline,0
80,80,early_mover,-116.638494234974
80,80,sequential,-137.477089651938
80,80,coordinated,-122.785721116122
80,80,delayed_coordination,-134.246239057252
81,81,baseline,0
81,81,early_mover,-116.858423197111
81,81,sequential,-141.205215975819
81,81,coordinated,-110.543510338833
81,81,delayed_coordination,-132.600106785646
82,82,baseline,0
82,82,early_mover,-162.178319328621
82,82,sequential,-158.03802324766
82,82,coordinated,-124.837631741777
82,82,delayed_coordination,-166.422785687188
83,83,baseline,0
83,83,early_mover,-102.350896204305
83,83,sequential,-119.154983441592
83,83,coordinated,-110.852889890786
83,83,delayed_coordination,-123.619561881463
84,84,baseline,0
84,84,early_mover,-75.07327208795
84,84,sequential,-133.046249430847
84,84,coordinated,-132.056463597914
84,84,delayed_coordination,-137.359598006903
85,85,baseline,0
85,85,early_mover,-85.781878832996
85,85,sequential,-85.136372229033
85,85,coordinated,-99.2280878361013
85,85,delayed_coordination,-99.9479452271204
86,86,baseline,0
86,86,early_mover,-86.538148419926
86,86,sequential,-83.7330503406092
86,86,coordinated,-81.2515763590553
86,86,delayed_coordination,-95.16089684682
87,87,baseline,0
87,87,early_mover,-109.936130948531
87,87,sequential,-130.007246509962
87,87,coordinated,-140.58694293979
87,87,delayed_coordination,-117.199368970732
88,88,baseline,0
88,88,early_mover,-93.6480101670396
88,88,sequential,-103.71247906337
88,88,coordinated,-108.438086447877
88,88,delayed_coordination,-103.855638137294
89,89,baseline,0
89,89,early_mover,-75.0170381860734
89,89,sequential,-73.1611941646885
89,89,coordinated,-94.0709697517848
89,89,delayed_coordination,-84.2849660033685
90,90,baseline,0
90,90,early_mover,-101.709179612609
90,90,sequential,-105.018191124866
