replication,seed,beta,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
5,5,8,early_mover,Early Mover,111.213235228948,273.519246323745,1930.56270328293,229,3616,1132,2484
5,5,8,sequential,Sequential,108.830410418155,277.543177606175,1887.33014772377,218,3556,1206,2350
5,5,8,coordinated,Coordinated,109.231562990437,310.117362758831,1955.78773327881,196,3544,1179,2365
5,5,8,delayed_coordination,Delayed Coordination,106.599926034627,284.967957051378,1934.29689032832,209,3570,1175,2395
6,6,2,baseline,Baseline,122.973017955959,361.28936532571,2491.03433709052,106,2042,639,1403
6,6,2,early_mover,Early Mover,134.150320770557,243.899965508605,1579.09810512196,275,4642,1124,3518
6,6,2,sequential,Sequential,130.346055173126,239.298294998675,1567.00227576952,268,4554,1200,3354
6,6,2,coordinated,Coordinated,126.857533662326,231.245331007687,1670.84192709131,264,4031,1075,2956
6,6,2,delayed_coordination,Delayed Coordination,131.00517453819,232.833135391489,1550.57809973332,273,4612,1148,3464
6,6,4,baseline,Baseline,121.975141289964,365.804511914658,2527.51690733263,96,1959,588,1371
6,6,4,early_mover,Early Mover,127.576854112926,254.933320135202,1672.51067823722,274,4362,1062,3300
6,6,4,sequential,Sequential,125.573045433173,248.224015472931,1651.62986315284,267,4351,1192,3159
6,6,4,coordinated,Coordinated,122.172575091648,257.18997343435,1678.96425575928,244,4238,1246,2992
6,6,4,delayed_coordination,Delayed Coordination,125.235227105998,247.560838443848,1662.12651273848,264,4293,1186,3107
6,6,8,baseline,Baseline,121.786605078524,366.268516563087,2518.41099336718,96,1927,615,1312
6,6,8,early_mover,Early Mover,121.388581731859,261.133857460729,1766.30269400219,249,3937,1184,2753
6,6,8,sequential,Sequential,115.348912378673,257.392653730722,1768.99287087065,227,3879,1222,2657
6,6,8,coordinated,Coordinated,107.383862036167,283.71826263686,1984.92669686425,205,3322,1082,2240
6,6,8,delayed_coordination,Delayed Coordination,113.613326499904,272.136341359971,1809.84402236614,229,3835,1173,2662
7,7,2,baseline,Baseline,126.26414266446,333.105302820742,2341.12451463068,130,2583,598,1985
7,7,2,early_mover,Early Mover,134.723361472687,203.689047982124,1443.12338556802,311,5047,1125,3922
7,7,2,sequential,Sequential,133.397187008891,196.071228783834,1399.6585949624,324,5207,1179,4028
7,7,2,coordinated,Coordinated,130.973372643485,191.688195377986,1476.37440473731,295,4926,1119,3807
7,7,2,delayed_coordination,Delayed Coordination,133.044269627854,197.185661739397,1412.51490588063,314,5132,1125,4007
7,7,4,baseline,Baseline,126.285880825954,335.424054168838,2353.91426159706,123,2547,619,1928
7,7,4,early_mover,Early Mover,119.142988874797,258.462191299714,1726.10463400483,226,4078,1077,3001
7,7,4,sequential,Sequential,117.81399162947,252.208906749522,1678.80086512606,245,4218,1112,3106
7,7,4,coordinated,Coordinated,118.805611715615,238.468990244378,1639.1037261194,257,4416,1135,3281
7,7,4,delayed_coordination,Delayed Coordination,114.575273335396,259.938565703739,1719.0633709251,229,4101,1065,3036
7,7,8,baseline,Baseline,123.06958020452,358.739825882805,2421.93473670764,115,2265,505,1760
7,7,8,early_mover,Early Mover,113.865385378637,275.559612908619,1763.18163657234,238,3834,1061,2773
7,7,8,sequential,Sequential,112.684792125267,261.2397395333,1690.48082699676,256,4005,1127,2878
7,7,8,coordinated,Coordinated,107.16761606293,276.427487344007,1843.93153502861,231,3739,1037,2702
7,7,8,delayed_coordination,Delayed Coordination,110.338720892942,270.305420439887,1765.39786519329,245,3882,1090,2792
8,8,2,baseline,Baseline,123.870317532769,334.823086070873,2410.87506211693,111,2208,514,1694
8,8,2,early_mover,Early Mover,124.806896044722,229.590848361681,1596.65486034236,278,4593,1060,3533
8,8,2,sequential,Sequential,122.246774580903,218.44021336727,1564.32973209222,274,4688,1097,3591
8,8,2,coordinated,Coordinated,125.118193436209,216.499108676454,1534.97399375695,279,4854,1122,3732
8,8,2,delayed_coordination,Delayed Coordination,121.176116575595,222.989546317397,1572.14344986732,277,4677,1113,3564
8,8,4,baseline,Baseline,124.411283169884,344.552030241259,2373.25748789315,115,2261,551,1710
8,8,4,early_mover,Early Mover,121.304060658927,231.665043898074,1622.71959232611,271,4371,1149,3222
8,8,4,sequential,Sequential,115.499857908592,234.378745888268,1653.78500417996,261,4294,1171,3123
8,8,4,coordinated,Coordinated,115.767971592379,237.377304898262,1697.90192502208,248,4227,1173,3054
8,8,4,delayed_coordination,Delayed Coordination,117.883489259908,229.822180146449,1617.73904854042,264,4358,1172,3186
8,8,8,baseline,Baseline,123.226902329535,343.012861300922,2429.22498485241,107,2104,531,1573
8,8,8,early_mover,Early Mover,109.722111721578,260.923462154853,1862.90118734694,226,3504,990,2514
8,8,8,sequential,Sequential,106.704030785555,252.074560179482,1833.17868016583,210,3483,1062,2421
8,8,8,coordinated,Coordinated,106.602121988065,259.642012001432,1814.83883494614,232,3636,1075,2561
8,8,8,delayed_coordination,Delayed Coordination,107.593419647432,255.418128790042,1809.29630984679,229,3565,1034,2531
