replication,seed,beta,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
10,10,4,sequential,0.747802747486006,-121.264617708354,-915.663886799796,2705
10,10,4,coordinated,0.687682725036652,-115.822251473329,-888.874642769876,2755
10,10,4,delayed_coordination,1.05952746142638,-118.411786274233,-916.323844312805,2713
10,10,8,baseline,0,0,0,0
10,10,8,early_mover,-7.55379832619747,-98.6761273861726,-715.842595788484,1963
10,10,8,sequential,-8.65032996517159,-100.539457177312,-818.967191460917,2065
10,10,8,coordinated,-11.7774539154434,-99.252173094454,-706.128712460586,1971
10,10,8,delayed_coordination,-5.01531099186583,-113.547530497618,-862.907080236639,2190
11,11,2,baseline,0,0,0,0
11,11,2,early_mover,4.23408609581017,-111.791281120052,-802.240376217866,2477
11,11,2,sequential,2.80783159245036,-126.596802711278,-871.461334574281,2509
11,11,2,coordinated,3.89642996719218,-129.346431887613,-760.577519727413,2398
11,11,2,delayed_coordination,5.15696542757792,-127.257421626784,-895.434814573951,2605
11,11,4,baseline,0,0,0,0
11,11,4,early_mover,-3.58072509210884,-94.4539354450893,-626.480965241664,1857
11,11,4,sequential,-2.47288147637296,-102.415135075756,-774.837719577475,2120
11,11,4,coordinated,-6.23474732417314,-101.932602439254,-701.871614476071,1990
11,11,4,delayed_coordination,-3.29953733943553,-107.438437053698,-741.076116780618,1941
11,11,8,baseline,0,0,0,0
11,11,8,early_mover,-13.2936494178231,-84.9696887073003,-506.192157937622,1410
11,11,8,sequential,-17.2451866966793,-89.9046615483309,-514.478901890453,1411
11,11,8,coordinated,-13.2142244452982,-99.1533879001726,-630.507863403876,1588
11,11,8,delayed_coordination,-16.1088263702307,-93.1462616799879,-519.622738339263,1371
12,12,2,baseline,0,0,0,0
12,12,2,early_mover,-5.57717131246794,-60.2108812843236,-652.946668001686,1733
12,12,2,sequential,-1.75789198281097,-83.0684510630578,-766.958867941326,1963
12,12,2,coordinated,0.111170554458582,-96.2551218769286,-783.848629174391,2245
12,12,2,delayed_coordination,-7.01518104492946,-63.4511242368078,-685.076340812143,1750
12,12,4,baseline,0,0,0,0
12,12,4,early_mover,-7.05530851344645,-95.9185058376969,-669.95094022168,1900
12,12,4,sequential,-6.49264181984179,-105.518430051199,-766.982543332391,1937
12,12,4,coordinated,-4.9783913394143,-98.4022495585023,-764.945762361137,2021
12,12,4,delayed_coordination,-5.40636560617078,-105.867512277681,-782.444364538278,1965
12,12,8,baseline,0,0,0,0
12,12,8,early_mover,-11.7657053203277,-74.0691702706092,-575.392136908735,1400
12,12,8,sequential,-18.1084722024849,-75.140898583842,-567.218596323002,1277
12,12,8,coordinated,-15.6439424975211,-68.6326238531011,-578.911941131136,1350
12,12,8,delayed_coordination,-18.5421649028123,-65.672969565147,-526.299552594166,1228
13,13,2,baseline,0,0,0,0
13,13,2,early_mover,7.26023065330531,-174.715618382295,-1011.38002527703,2865
13,13,2,sequential,8.65650115331556,-175.149343039024,-1145.1358650421,2976
13,13,2,coordinated,5.05238061842742,-161.027839775312,-1051.05683914807,2917
13,13,2,delayed_coordination,9.79778053862529,-181.123792173571,-1157.0835699838,3006
13,13,4,baseline,0,0,0,0
13,13,4,early_mover,-3.39528951820489,-128.500869562327,-787.361229229257,2201
13,13,4,sequential,-4.04161699844302,-138.521480981286,-885.293380053525,2305
13,13,4,coordinated,-7.45953645772325,-125.265864021585,-828.972840595372,1951
13,13,4,delayed_coordination,-4.5054777256245,-135.638009420564,-848.69665281555,2216
13,13,8,baseline,0,0,0,0
13,13,8,early_mover,-9.77176196808912,-119.815554770746,-711.211992254041,1853
13,13,8,sequential,-14.2491087209872,-117.808296917789,-747.774102515874,1745
13,13,8,coordinated,-15.2811274351633,-117.713012927672,-712.083286853347,1600
13,13,8,delayed_coordination,-14.7565829802969,-121.062729258386,-720.256467805865,1730
14,14,2,baseline,0,0,0,0
14,14,2,early_mover,2.18976658161972,-92.4504113423361,-800.16705848852,2510
14,14,2,sequential,0.649247380504761,-100.671952040684,-867.957832252132,2595
14,14,2,coordinated,6.68447894309259,-132.434192781562,-981.211502623474,2761
14,14,2,delayed_coordination,0.557924213744229,-111.489163161158,-874.369021219773,2602
14,14,4,baseline,0,0,0,0
14,14,4,early_mover,-3.15068815532602,-103.852356858293,-749.518230525308,1994
14,14,4,sequential,-6.31627277693167,-105.531600844829,-777.372503472249,1919
14,14,4,coordinated,-2.28041705455229,-119.613884199645,-876.382508524813,2131
14,14,4,delayed_coordination,-9.30962118292567,-77.5434562064578,-699.909814604693,1804
14,14,8,baseline,0,0,0,0
14,14,8,early_mover,-5.61361007376772,-98.8436846454968,-724.627911763536,1929
14,14,8,sequential,-10.134555539508,-95.7881033189287,-759.433547507076,1853
14,14,8,coordinated,-12.5239410509297,-91.9491908727878,-685.81980280763,1656
14,14,8,delayed_coordination,-8.78724073032851,-102.145133426768,-749.684688558823,1880
15,15,2,baseline,0,0,0,0
15,15,2,early_mover,1.10457281606006,-141.444942183472,-801.850967686144,2094
15,15,2,sequential,-0.596294713493847,-152.678128487754,-881.59095090698,2272
15,15,2,coordinated,0.789498922801357,-133.435233605421,-840.08073235933,2244
15,15,2,delayed_coordination,1.20898566301088,-158.517608661541,-872.009360891069,2241
15,15,4,baseline,0,0,0,0
15,15,4,early_mover,-2.91833688510035,-116.089721928671,-696.262954746857,1960
15,15,4,sequential,-4.30089646467832,-124.934794157128,-772.076893386332,2077
15,15,4,coordinated,-3.02341055546241,-134.012084109143,-837.59800038289,2204
15,15,4,delayed_coordination,-3.86967323211459,-135.239696854821,-784.728273009564,2056
15,15,8,baseline,0,0,0,0
15,15,8,early_mover,-9.52429996334497,-85.7364026446727,-577.542832308162,1536
15,15,8,sequential,-12.9220964311215,-94.7452730993263,-637.43617010378,1519
15,15,8,coordinated,-12.0980892497406,-105.79065253246,-681.418699040044,1696
15,15,8,delayed_coordination,-12.6312977588005,-102.870374777937,-652.684969274567,1619
16,16,2,baseline,0,0,0,0
16,16,2,early_mover,1.65885226632282,-104.683194367765,-666.588443250427,1797
16,16,2,sequential,-1.12545430067264,-120.544718839284,-693.062289415299,1812
16,16,2,coordinated,-5.90177165100056,-100.365050523915,-663.09431690198,1632
16,16,2,delayed_coordination,3.72772079226495,-126.770996363675,-787.167699575537,2091
16,16,4,baseline,0,0,0,0
16,16,4,early_mover,-3.76126283622234,-84.0834886006833,-547.22129171747,1350
16,16,4,sequential,-4.2907076075398,-103.93959183436,-607.312470639422,1479
16,16,4,coordinated,-9.16658962693192,-98.6675774687533,-554.942679914479,1447
16,16,4,delayed_coordination,-3.2509417392952,-104.338853329713,-622.357403342363,1493
16,16,8,baseline,0,0,0,0
16,16,8,early_mover,-15.0749962564362,-66.1253153846137,-451.918522426373,1067
16,16,8,sequential,-18.0046971783602,-72.2344105527621,-452.328326445782,946
16,16,8,coordinated,-22.3115803456466,-62.4044608729145,-365.002546836167,755
16,16,8,delayed_coordination,-19.5554220657706,-72.6442577078768,-441.599298702713,997
17,17,2,baseline,0,0,0,0
17,17,2,early_mover,7.04040150669519,-132.843660807414,-885.745524708614,2755
17,17,2,sequential,8.74447165139944,-144.818021747638,-989.307714568949,2902
17,17,2,coordinated,9.93756244301102,-150.977067823693,-999.711469939541,2825
17,17,2,delayed_coordination,7.32717137652162,-145.090177432481,-985.702123386198,2849
17,17,4,baseline,0,0,0,0
17,17,4,early_mover,-0.474649684374597,-115.93015408354,-784.674512535799,2411
17,17,4,sequential,-2.17161652484054,-123.909329119485,-878.040412592036,2457
17,17,4,coordinated,-4.55389273473322,-131.62445274381,-813.28415581251,2276
