replication,seed,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
20,20,coordinated,Coordinated,115.206110396705,259.708541397764,1843.2588076616,214,3921,911,3010
20,20,delayed_coordination,Delayed Coordination,122.404290330145,251.341994297433,1666.10371202958,263,4466,1004,3462
21,21,baseline,Baseline,122.069413653323,392.819814427912,2569.53673767079,89,1936,565,1371
21,21,early_mover,Early Mover,117.512501605939,298.793053907179,1904.18351828957,233,3879,1052,2827
21,21,sequential,Sequential,116.830416830135,285.28397737668,1815.80279194973,233,3942,1030,2912
21,21,coordinated,Coordinated,119.139359869121,275.181757246019,1800.73561008454,233,4125,1217,2908
21,21,delayed_coordination,Delayed Coordination,117.145906206166,285.663424171632,1812.63515303371,245,4022,1015,3007
22,22,baseline,Baseline,123.838041390419,374.045860159719,2412.9909957533,117,2313,571,1742
22,22,early_mover,Early Mover,116.472124410815,260.098263089054,1807.4775106658,218,3970,914,3056
22,22,sequential,Sequential,111.352977136558,260.99535340219,1825.9855847871,205,3708,935,2773
22,22,coordinated,Coordinated,115.335883381478,254.241738133646,1767.79857213825,222,4169,1001,3168
22,22,delayed_coordination,Delayed Coordination,115.700391876891,242.936026985303,1757.74750649891,231,4025,921,3104
23,23,baseline,Baseline,124.430330110819,383.570648273512,2492.86880677941,98,2000,705,1295
23,23,early_mover,Early Mover,120.716132685015,264.807329242934,1705.96467808458,261,4236,1270,2966
23,23,sequential,Sequential,121.261171851284,248.968470540011,1607.34906394029,282,4382,1365,3017
23,23,coordinated,Coordinated,120.013522684445,254.392294395647,1686.39328910855,253,4079,1296,2783
23,23,delayed_coordination,Delayed Coordination,118.717481797913,252.967442198565,1641.74248333344,260,4288,1284,3004
24,24,baseline,Baseline,123.234960931557,342.156953752131,2406.73077717014,114,2367,497,1870
24,24,early_mover,Early Mover,123.914065154766,233.824034288651,1617.17725683468,273,4692,1075,3617
24,24,sequential,Sequential,125.192003037116,222.536025941022,1535.76162642467,289,4754,1181,3573
24,24,coordinated,Coordinated,120.317175440524,225.125720564626,1644.10851416603,268,4579,1163,3416
24,24,delayed_coordination,Delayed Coordination,125.030777397505,220.573103991188,1526.84861824271,299,4779,1165,3614
25,25,baseline,Baseline,124.267889561608,344.914842392407,2409.57083030262,131,2539,588,1951
25,25,early_mover,Early Mover,120.666515085244,242.74650289454,1762.71765969719,242,4155,1141,3014
25,25,sequential,Sequential,117.509546209534,252.756931033016,1738.4664660267,245,4157,1152,3005
25,25,coordinated,Coordinated,115.129149118304,257.062582481129,1798.849625135,241,4123,1110,3013
25,25,delayed_coordination,Delayed Coordination,118.136605810193,243.397319565104,1724.3367488196,245,4183,1093,3090
26,26,baseline,Baseline,122.794667434974,394.835168064089,2632.75547953005,91,1776,462,1314
26,26,early_mover,Early Mover,121.517838671557,262.378847755485,1815.70653118003,246,3896,1129,2767
26,26,sequential,Sequential,122.798194575647,259.606907364545,1714.72164813565,271,4015,1157,2858
