replication,seed,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
22,22,delayed_coordination,Delayed Coordination,-8.13764951352788,-131.109833174417,-655.24348925439,114,1712
23,23,baseline,Baseline,0,0,0,0,0
23,23,early_mover,Early Mover,-3.71419742580416,-118.763319030578,-786.904128694831,163,2236
23,23,sequential,Sequential,-3.16915825953465,-134.602177733501,-885.519742839115,184,2382
23,23,coordinated,Coordinated,-4.41680742637392,-129.178353877865,-806.47551767086,155,2079
23,23,delayed_coordination,Delayed Coordination,-5.71284831290552,-130.603206074947,-851.126323445968,162,2288
24,24,baseline,Baseline,0,0,0,0,0
24,24,early_mover,Early Mover,0.679104223208739,-108.33291946348,-789.55352033546,159,2325
24,24,sequential,Sequential,1.95704210555928,-119.620927811108,-870.969150745464,175,2387
24,24,coordinated,Coordinated,-2.91778549103245,-117.031233187505,-762.622263004112,154,2212
24,24,delayed_coordination,Delayed Coordination,1.79581646594801,-121.583849760943,-879.882158927431,185,2412
25,25,baseline,Baseline,0,0,0,0,0
25,25,early_mover,Early Mover,-3.60137447636397,-102.168339497867,-646.853170605431,111,1616
25,25,sequential,Sequential,-6.75834335207344,-92.1579113593914,-671.104364275923,114,1618
25,25,coordinated,Coordinated,-9.13874044330399,-87.8522599112781,-610.72120516762,110,1584
25,25,delayed_coordination,Delayed Coordination,-6.13128375141478,-101.517522827303,-685.23408148302,114,1644
26,26,baseline,Baseline,0,0,0,0,0
26,26,early_mover,Early Mover,-1.27682876341768,-132.456320308603,-817.048948350013,155,2120
26,26,sequential,Sequential,0.00352714067265936,-135.228260699544,-918.033831394399,180,2239
26,26,coordinated,Coordinated,-2.20678687180475,-129.238496643318,-888.824461235622,167,2226
26,26,delayed_coordination,Delayed Coordination,0.754267178066016,-135.700292839854,-897.900453697359,180,2298
27,27,baseline,Baseline,0,0,0,0,0
27,27,early_mover,Early Mover,2.33835708399501,-128.194692590438,-842.169120428317,159,2482
27,27,sequential,Sequential,2.79813903682157,-132.464378355835,-951.728811728211,177,2457
27,27,coordinated,Coordinated,-1.85581172839845,-103.817600915244,-859.78087601407,143,2105
27,27,delayed_coordination,Delayed Coordination,-1.39937934161838,-121.148942946013,-904.4168763042,178,2497
28,28,baseline,Baseline,0,0,0,0,0
28,28,early_mover,Early Mover,-5.97130056605934,-99.7692670616436,-720.93452976376,157,2129
28,28,sequential,Sequential,-4.49663055138893,-107.560975763147,-845.617799430998,176,2300
28,28,coordinated,Coordinated,-9.37338362320719,-100.885036102597,-786.538655935906,169,2007
28,28,delayed_coordination,Delayed Coordination,-6.75480029441994,-109.959086225293,-819.965521850409,179,2251
29,29,baseline,Baseline,0,0,0,0,0
29,29,early_mover,Early Mover,-0.385148355932159,-79.3452938481832,-721.804373871925,142,1914
29,29,sequential,Sequential,-2.30603952783217,-98.4342869824077,-800.317860023684,154,1936
29,29,coordinated,Coordinated,-6.03340082043066,-109.077020765282,-761.937742452155,159,1852
29,29,delayed_coordination,Delayed Coordination,-1.84397241182751,-103.60151741491,-785.362880225986,172,2002
30,30,baseline,Baseline,0,0,0,0,0
30,30,early_mover,Early Mover,-5.04426738209787,-86.1342644029136,-625.769497911205,133,1828
30,30,sequential,Sequential,-5.97119432500381,-104.570189379594,-712.05756863435,155,1941
30,30,coordinated,Coordinated,-4.25879920276705,-108.594699969165,-750.848105673558,160,2203
30,30,delayed_coordination,Delayed Coordination,-5.68257976014149,-101.421276547226,-709.583656065595,134,1874
31,31,baseline,Baseline,0,0,0,0,0
31,31,early_mover,Early Mover,4.36677225317911,-108.679143813581,-891.809622803454,192,2619
31,31,sequential,Sequential,-0.346128604301299,-120.133415377722,-923.515548245231,185,2635
31,31,coordinated,Coordinated,-0.798111255110101,-117.524057714905,-914.719969825985,193,2820
31,31,delayed_coordination,Delayed Coordination,1.18779743469274,-126.77722059799,-947.476875444656,186,2610
32,32,baseline,Baseline,0,0,0,0,0
32,32,early_mover,Early Mover,-2.51499343488014,-91.3599791013933,-758.461826745681,165,2029
32,32,sequential,Sequential,-3.23195150804096,-100.840907012106,-825.465251195201,179,2115
32,32,coordinated,Coordinated,-9.08713351445,-81.1305836240177,-710.455385029053,120,1767
32,32,delayed_coordination,Delayed Coordination,-2.67565654555743,-103.609011400695,-831.131704946478,156,2101
33,33,baseline,Baseline,0,0,0,0,0
33,33,early_mover,Early Mover,-4.97455188607391,-97.0663929463452,-732.259689601337,114,1891
33,33,sequential,Sequential,-3.69844801350278,-108.282489614627,-850.121802210297,178,2203
33,33,coordinated,Coordinated,-8.44901581626607,-102.581818436087,-724.556892546023,148,2128
33,33,delayed_coordination,Delayed Coordination,-5.37125401064731,-107.168608652447,-802.577074767023,151,2052
34,34,baseline,Baseline,0,0,0,0,0
34,34,early_mover,Early Mover,3.6029346454976,-136.030638755658,-813.527766969661,157,2492
34,34,sequential,Sequential,2.91797194194957,-132.948380978282,-883.337251316309,169,2558
34,34,coordinated,Coordinated,5.53160014014323,-157.156776735547,-900.607965947303,168,2554
34,34,delayed_coordination,Delayed Coordination,1.86341343801962,-130.885510342041,-864.2579350124,169,2540
35,35,baseline,Baseline,0,0,0,0,0
35,35,early_mover,Early Mover,-6.40418958429397,-77.8156479391996,-671.105826125806,133,1845
35,35,sequential,Sequential,-8.88010149131658,-83.6528311897393,-737.177325020647,146,1976
35,35,coordinated,Coordinated,-7.95829904559172,-76.2536001309064,-763.155561189862,147,2085
35,35,delayed_coordination,Delayed Coordination,-7.95252379986684,-79.9059998157553,-760.625034658219,133,2005
36,36,baseline,Baseline,0,0,0,0,0
36,36,early_mover,Early Mover,-1.75343575398267,-100.174806015699,-716.933682735174,153,1932
36,36,sequential,Sequential,-4.81691442833328,-116.949563618928,-771.640601281094,151,1917
