replication,seed,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
35,35,sequential,delayed_coordination,-0.927577691449741,-3.74683137398404,23.4477096375722,-29
35,35,coordinated,delayed_coordination,-0.00577524572487675,3.6523996848488,-2.53052653164241,80
36,36,early_mover,sequential,3.06347867435061,16.7747576032295,54.7069185459204,15
36,36,early_mover,coordinated,6.61449161294439,10.7444013236338,16.4510047485419,111
36,36,early_mover,delayed_coordination,3.25156016358144,19.5422433028465,91.2839847464004,42
36,36,sequential,coordinated,3.55101293859379,-6.03035627959574,-38.2559137973785,96
36,36,sequential,delayed_coordination,0.188081489230839,2.767485699617,36.57706620048,27
36,36,coordinated,delayed_coordination,-3.36293144936295,8.79784197921273,74.8329799978585,-69
37,37,early_mover,sequential,2.1060365485793,12.2216555891861,66.5935995916434,-96
37,37,early_mover,coordinated,0.772128384469028,9.1899123087872,41.2570632664731,45
37,37,early_mover,delayed_coordination,1.79409842326086,6.59212697754299,63.0052433470087,-61
37,37,sequential,coordinated,-1.33390816411027,-3.03174328039887,-25.3365363251703,141
37,37,sequential,delayed_coordination,-0.311938125318434,-5.62952861164308,-3.58835624463472,35
37,37,coordinated,delayed_coordination,1.02197003879184,-2.59778533124421,21.7481800805356,-106
38,38,early_mover,sequential,-1.09514044284653,10.6900257361114,98.6242699361194,-103
38,38,early_mover,coordinated,0.164465231524616,4.23378703441477,49.9039726340332,-137
38,38,early_mover,delayed_coordination,-2.22700622903312,11.1774963904022,117.379323796823,-72
38,38,sequential,coordinated,1.25960567437114,-6.45623870169658,-48.7202973020862,-34
38,38,sequential,delayed_coordination,-1.13186578618659,0.487470654290803,18.755053860704,31
38,38,coordinated,delayed_coordination,-2.39147146055774,6.94370935598738,67.4753511627903,65
39,39,early_mover,sequential,3.58731113647951,7.26435807514284,26.6706484447902,108
39,39,early_mover,coordinated,9.33434445039731,-5.77202451226094,-56.4845743424989,308
39,39,early_mover,delayed_coordination,1.94945098625308,11.572208463606,52.814948437084,56
39,39,sequential,coordinated,5.7470333139178,-13.0363825874038,-83.1552227872892,200
39,39,sequential,delayed_coordination,-1.63786015022643,4.30785038846321,26.1442999922938,-52
39,39,coordinated,delayed_coordination,-7.38489346414423,17.344232975867,109.299522779583,-252
40,40,early_mover,sequential,4.05665038123138,7.36462088058852,35.4397352917792,41
40,40,early_mover,coordinated,6.30456301489312,-1.35592591332247,9.01763425869513,131
40,40,early_mover,delayed_coordination,4.89075460966502,7.60756650453567,42.87845641323,49
40,40,sequential,coordinated,2.24791263366174,-8.72054679391098,-26.4221010330841,90
40,40,sequential,delayed_coordination,0.834104228433645,0.242945623947151,7.43872112145073,8
40,40,coordinated,delayed_coordination,-1.4138084052281,8.96349241785813,33.8608221545348,-82
41,41,early_mover,sequential,-0.562094761040825,5.01660445452012,49.8049291597167,50
41,41,early_mover,coordinated,0.906178214952689,8.65089061154669,-12.676015432593,196
41,41,early_mover,delayed_coordination,-2.92689959589708,17.7379399181019,137.771984389126,-51
41,41,sequential,coordinated,1.46827297599351,3.63428615702657,-62.4809445923097,146
41,41,sequential,delayed_coordination,-2.36480483485626,12.7213354635818,87.9670552294097,-101
41,41,coordinated,delayed_coordination,-3.83307781084977,9.0870493065552,150.447999821719,-247
42,42,early_mover,sequential,7.48950531273181,-10.3700846799419,-64.9828050632268,503
42,42,early_mover,coordinated,6.33821423819994,-23.0299751554178,-118.472687906379,490
42,42,early_mover,delayed_coordination,7.38113172831922,-1.55526920181003,-62.8182196910955,466
42,42,sequential,coordinated,-1.15129107453187,-12.6598904754759,-53.4898828431526,-13
42,42,sequential,delayed_coordination,-0.10837358441259,8.81481547813186,2.16458537213134,-37
42,42,coordinated,delayed_coordination,1.04291749011928,21.4747059536078,55.6544682152839,-24
43,43,early_mover,sequential,0.997342790129167,8.79329118172078,58.0637520867767,-51
43,43,early_mover,coordinated,2.8383506541508,4.19149798692311,12.4816398601583,64
43,43,early_mover,delayed_coordination,2.55693657133141,-0.843011003543666,56.2576941136126,-44
43,43,sequential,coordinated,1.84100786402163,-4.60179319479766,-45.5821122266184,115
43,43,sequential,delayed_coordination,1.55959378120224,-9.63630218526444,-1.80605797316412,7
43,43,coordinated,delayed_coordination,-0.281414082819396,-5.03450899046678,43.7760542534543,-108
44,44,early_mover,sequential,5.46707436897957,3.89670786741129,-2.08656352236198,41
44,44,early_mover,coordinated,0.30052710434633,14.1727015106625,74.2190873615677,-318
44,44,early_mover,delayed_coordination,4.79448573079523,1.55987723973999,5.9572657570227,25
44,44,sequential,coordinated,-5.16654726463324,10.2759936432512,76.3056508839297,-359
44,44,sequential,delayed_coordination,-0.672588638184337,-2.3368306276713,8.04382927938468,-16
44,44,coordinated,delayed_coordination,4.4939586264489,-12.6128242709225,-68.261821604545,343
45,45,early_mover,sequential,5.44651018569542,-5.05179605531373,40.2776810921439,5
45,45,early_mover,coordinated,7.03667828059578,-18.3298780322284,6.88934562686336,-77
45,45,early_mover,delayed_coordination,3.16484531565975,0.117852100226116,83.936484007427,-88
45,45,sequential,coordinated,1.59016809490036,-13.2780819769147,-33.3883354652805,-82
45,45,sequential,delayed_coordination,-2.28166487003567,5.16964815553985,43.6588029152831,-93
45,45,coordinated,delayed_coordination,-3.87183296493603,18.4477301324545,77.0471383805636,-11
46,46,early_mover,sequential,-0.805972141093008,20.7997511866068,116.462743890354,-86
46,46,early_mover,coordinated,6.6592983454927,-10.8184192628447,-88.3858353494484,218
46,46,early_mover,delayed_coordination,0.865817349716764,11.4732607735492,73.4983648423131,-46
46,46,sequential,coordinated,7.46527048658571,-31.6181704494516,-204.848579239802,304
46,46,sequential,delayed_coordination,1.67178949080977,-9.32649041305763,-42.9643790480404,40
46,46,coordinated,delayed_coordination,-5.79348099577594,22.2916800363939,161.884200191761,-264
47,47,early_mover,sequential,1.69161554508611,-1.20447740682451,91.9311915256771,-54
47,47,early_mover,coordinated,8.63287044815395,-19.552027900937,-10.1041020778628,216
47,47,early_mover,delayed_coordination,1.08138646402278,-6.24094198990005,83.056162723329,-7
47,47,sequential,coordinated,6.94125490306784,-18.3475504941125,-102.03529360354,270
47,47,sequential,delayed_coordination,-0.610229081063324,-5.03646458307554,-8.8750288023482,47
47,47,coordinated,delayed_coordination,-7.55148398413117,13.3110859110369,93.1602648011917,-223
48,48,early_mover,sequential,4.69199172013646,-10.6241726361937,-4.82530101473776,241
48,48,early_mover,coordinated,6.81765832254573,-27.7024032045791,-95.8249746513684,680
48,48,early_mover,delayed_coordination,1.54334106852882,1.46370301993625,47.5480713651777,70
48,48,sequential,coordinated,2.12566660240927,-17.0782305683854,-90.9996736366306,439
48,48,sequential,delayed_coordination,-3.14865065160764,12.0878756561299,52.3733723799155,-171
48,48,coordinated,delayed_coordination,-5.27431725401691,29.1661062245153,143.373046016546,-610
49,49,early_mover,sequential,3.87144221186367,4.167559696387,38.727342749552,63
49,49,early_mover,coordinated,4.21329318968215,5.5967354355663,35.4269538745511,-186
49,49,early_mover,delayed_coordination,4.20381364673133,3.60256745035485,5.22256955136936,-13
49,49,sequential,coordinated,0.341850977818481,1.4291757391793,-3.30038887500086,-249
49,49,sequential,delayed_coordination,0.332371434867667,-0.564992246032148,-33.5047731981826,-76
49,49,coordinated,delayed_coordination,-0.00947954295081388,-1.99416798521145,-30.2043843231818,173
50,50,early_mover,sequential,3.20804482449417,3.15264804245351,17.4507882340729,51
50,50,early_mover,coordinated,6.02949324233971,-7.84366152715771,-79.3188059268148,212
50,50,early_mover,delayed_coordination,2.07349000338708,9.83947702214348,47.3279125936997,8
50,50,sequential,coordinated,2.82144841784555,-10.9963095696112,-96.7695941608877,161
50,50,sequential,delayed_coordination,-1.13455482110709,6.68682897968998,29.8771243596268,-43
50,50,coordinated,delayed_coordination,-3.95600323895263,17.6831385493012,126.646718520514,-204
51,51,early_mover,sequential,1.19807758092284,22.2801454892752,55.7490995594153,33
51,51,early_mover,coordinated,-7.83593310647166,47.7195016168543,239.600227444567,-610
51,51,early_mover,delayed_coordination,0.807585423882912,22.3523223407198,68.3305965415914,-65
51,51,sequential,coordinated,-9.0340106873945,25.4393561275791,183.851127885152,-643
51,51,sequential,delayed_coordination,-0.39049215703993,0.0721768514445387,12.5814969821761,-98
51,51,coordinated,delayed_coordination,8.64351853035457,-25.3671792761346,-171.269630902976,545
52,52,early_mover,sequential,4.48769349948851,-10.0942823324511,0.757134104929264,144
52,52,early_mover,coordinated,7.2263376577867,-16.9821077221942,-20.654287938087,443
52,52,early_mover,delayed_coordination,3.74146139662631,-0.911404241364664,25.791692611499,104
52,52,sequential,coordinated,2.73864415829819,-6.88782538974306,-21.4114220430163,299
52,52,sequential,delayed_coordination,-0.746232102862209,9.18287809108648,25.0345585065697,-40
52,52,coordinated,delayed_coordination,-3.48487626116039,16.0707034808295,46.445980549586,-339
53,53,early_mover,sequential,-0.409669783916868,3.13411050409979,20.2160156771961,-124
53,53,early_mover,coordinated,0.613717266427983,2.58500873910893,76.8457871514393,-245
53,53,early_mover,delayed_coordination,1.9853474510705,-0.639646187321176,-20.4654803429403,-15
53,53,sequential,coordinated,1.02338705034485,-0.549101764990866,56.6297714742432,-121
53,53,sequential,delayed_coordination,2.39501723498736,-3.77375669142097,-40.6814960201364,109
53,53,coordinated,delayed_coordination,1.37163018464251,-3.22465492643011,-97.3112674943795,230
54,54,early_mover,sequential,2.22733596511821,17.1656367794475,135.97417015015,-163
54,54,early_mover,coordinated,4.34751964509549,1.61481989525956,37.0992012255431,89
54,54,early_mover,delayed_coordination,5.3946487252831,8.87042804213141,51.0521988794374,82
