recovery_horizon,scenario_id,scenario_name,time,GroupCount,mean_delta_risk,std_delta_risk,mean_volume_effect,std_volume_effect,mean_composition_effect,std_composition_effect,mean_volume_share_of_delta_risk,std_volume_share_of_delta_risk,mean_composition_share_of_delta_risk,std_composition_share_of_delta_risk
3,coordinated,Coordinated,16,100,-101.305315382954,20.1225235433734,-102.934600312626,17.2708153892456,1.62928492967188,14.3197344561059,1.03676749860669,0.164991687038106,-0.036767498606692,0.164991687038106
3,coordinated,Coordinated,17,100,-102.696348701693,20.5246925715111,-104.271895514159,17.5698689384487,1.57554681246596,14.2372248934163,1.03597508527576,0.16320354716524,-0.0359750852757562,0.16320354716524
3,coordinated,Coordinated,18,100,-103.549245208341,20.7146931440447,-105.358754162813,17.7705429887888,1.80950895447237,14.1463739598745,1.03773498414245,0.161274375570086,-0.0377349841424494,0.161274375570086
3,coordinated,Coordinated,19,100,-104.405144394545,20.7310686082891,-106.24760637259,17.9578312050607,1.84246197804461,14.0393483953001,1.03716706333223,0.159133935494349,-0.0371670633322283,0.159133935494349
3,coordinated,Coordinated,20,100,-105.203092342473,20.7735418529001,-107.008910118925,17.9542543284206,1.80581777645217,14.2148719901544,1.03606262054068,0.156727315509907,-0.0360626205406807,0.156727315509908
3,delayed_coordination,Delayed Coordination,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,delayed_coordination,Delayed Coordination,1,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,delayed_coordination,Delayed Coordination,2,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,delayed_coordination,Delayed Coordination,3,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,delayed_coordination,Delayed Coordination,4,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,delayed_coordination,Delayed Coordination,5,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,delayed_coordination,Delayed Coordination,6,100,-19.5521655615756,4.94551414483729,-19.5334238637631,3.69374061232705,-0.0187416978124314,4.1126482300293,1.03978458050663,0.22864180171019,-0.0397845805066295,0.22864180171019
3,delayed_coordination,Delayed Coordination,7,100,-49.601233912857,12.6295475274245,-50.3786026154941,9.42459584984085,0.777368702637129,9.85372278055854,1.05350276398352,0.215023811792158,-0.0535027639835222,0.215023811792158
3,delayed_coordination,Delayed Coordination,8,100,-65.0066380891091,13.903595617415,-66.5247945160247,11.2601146856828,1.51815642691554,11.5394098248694,1.04919365258772,0.188094058332945,-0.0491936525877167,0.188094058332945
3,delayed_coordination,Delayed Coordination,9,100,-74.648949638986,16.3087843778445,-75.6087107319772,12.5420444106308,0.959761092991217,12.6870480654617,1.03819058946666,0.176988171707765,-0.038190589466664,0.176988171707765
3,delayed_coordination,Delayed Coordination,10,100,-80.8163931532212,17.060880109909,-81.7174909385904,13.4000929204046,0.901097785369207,12.7152862567604,1.03367638801435,0.166027027289406,-0.033676388014352,0.166027027289406
3,delayed_coordination,Delayed Coordination,11,100,-86.7275837574521,17.5151408380351,-87.4616537623335,14.1268115030904,0.734070004881439,12.8247788799413,1.02784134459784,0.154669304812298,-0.0278413445978444,0.154669304812298
3,delayed_coordination,Delayed Coordination,12,100,-94.2919881383038,18.0034958408447,-95.2526833227088,15.1003557415938,0.960695184405075,12.7625962105383,1.0269332048385,0.148583124072116,-0.0269332048385051,0.148583124072116
3,delayed_coordination,Delayed Coordination,13,100,-99.7540705340177,18.2653865013522,-100.820493474476,16.0428839688762,1.0664229404581,13.091959828673,1.02478451288399,0.141322801750853,-0.0247845128839929,0.141322801750852
3,delayed_coordination,Delayed Coordination,14,100,-103.225699418019,18.5325499194219,-104.36301057038,16.5231319349005,1.13731115236044,13.1491838104002,1.02431602287998,0.139422388997831,-0.0243160228799752,0.139422388997832
3,delayed_coordination,Delayed Coordination,15,100,-106.397176814338,18.9092393228646,-107.193697563028,16.902041913331,0.796520748689876,13.3759412552713,1.02030555427139,0.13745201491507,-0.020305554271386,0.13745201491507
3,delayed_coordination,Delayed Coordination,16,100,-108.270230136895,19.2002061640662,-109.337433717476,17.0069745723835,1.06720358058073,13.6530037469422,1.02298888863163,0.137851452845298,-0.0229888886316284,0.137851452845298
3,delayed_coordination,Delayed Coordination,17,100,-110.02686722839,19.5604073391111,-111.135478994657,17.3636164786323,1.108611766267,13.7939241912774,1.02312331118823,0.137796141382162,-0.0231233111882291,0.137796141382162
3,delayed_coordination,Delayed Coordination,18,100,-111.274273732503,19.9571244225078,-112.476816172972,17.7994568881268,1.20254244046949,14.0972604722225,1.02408787936923,0.140306786744097,-0.0240878793692342,0.140306786744097
3,delayed_coordination,Delayed Coordination,19,100,-112.568231588294,20.3648395540321,-113.689732365535,18.0784072561448,1.12150077724072,14.4796212716896,1.02363080974786,0.142474829568383,-0.0236308097478614,0.142474829568383
3,delayed_coordination,Delayed Coordination,20,100,-113.427100387297,20.6181067309732,-114.477824558879,18.339808722406,1.05072417158205,14.7867186853419,1.02318806020249,0.144478211277237,-0.0231880602024888,0.144478211277237
3,early_mover,Early Mover,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,early_mover,Early Mover,1,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,early_mover,Early Mover,2,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,early_mover,Early Mover,3,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,early_mover,Early Mover,4,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,early_mover,Early Mover,5,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,early_mover,Early Mover,6,100,-19.5521655615756,4.94551414483729,-19.5334238637631,3.69374061232705,-0.0187416978124314,4.1126482300293,1.03978458050663,0.22864180171019,-0.0397845805066295,0.22864180171019
3,early_mover,Early Mover,7,100,-49.601233912857,12.6295475274245,-50.3786026154941,9.42459584984085,0.777368702637129,9.85372278055854,1.05350276398352,0.215023811792158,-0.0535027639835222,0.215023811792158
3,early_mover,Early Mover,8,100,-65.0066380891091,13.903595617415,-66.5247945160247,11.2601146856828,1.51815642691554,11.5394098248694,1.04919365258772,0.188094058332945,-0.0491936525877167,0.188094058332945
3,early_mover,Early Mover,9,100,-74.648949638986,16.3087843778445,-75.6087107319772,12.5420444106308,0.959761092991217,12.6870480654617,1.03819058946666,0.176988171707765,-0.038190589466664,0.176988171707765
3,early_mover,Early Mover,10,100,-80.8163931532212,17.060880109909,-81.7174909385904,13.4000929204046,0.901097785369207,12.7152862567604,1.03367638801435,0.166027027289406,-0.033676388014352,0.166027027289406
3,early_mover,Early Mover,11,100,-86.7275837574521,17.5151408380351,-87.4616537623335,14.1268115030904,0.734070004881439,12.8247788799413,1.02784134459784,0.154669304812298,-0.0278413445978444,0.154669304812298
