replication,seed,policyPenalty,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
6,6,0.5,coordinated,Coordinated,115.399685601392,263.504275607985,1704.2770394992,234,4648,1698,2950
6,6,0.5,delayed_coordination,Delayed Coordination,123.250539658337,239.603955096579,1576.5849661688,256,4880,1701,3179
6,6,0.75,baseline,Baseline,125.985308644577,335.851783949464,2301.96893204739,110,2718,1065,1653
6,6,0.75,early_mover,Early Mover,127.015248422755,220.819836135622,1463.5897802753,238,4959,1171,3788
6,6,0.75,sequential,Sequential,129.884083739976,177.749685661948,1289.62496730108,297,5356,1242,4114
6,6,0.75,coordinated,Coordinated,112.652161462962,219.16625950656,1572.4850634907,230,4628,1322,3306
6,6,0.75,delayed_coordination,Delayed Coordination,123.493964190939,185.239221872167,1347.97965972423,242,4850,1187,3663
7,7,0.25,baseline,Baseline,125.190753686278,313.241083983099,2200.6463066579,125,2861,1029,1832
7,7,0.25,early_mover,Early Mover,112.312038256704,296.807601236636,2113.47778117082,122,2959,1203,1756
7,7,0.25,sequential,Sequential,112.759361688585,295.825864383954,2057.53742528267,147,3180,1322,1858
7,7,0.25,coordinated,Coordinated,114.598579145269,274.114000941754,2035.71226500797,153,3239,1346,1893
7,7,0.25,delayed_coordination,Delayed Coordination,110.984899589177,296.152223433992,2094.10656432743,152,3099,1250,1849
7,7,0.5,baseline,Baseline,125.190753686278,313.241083983099,2200.6463066579,125,2861,1029,1832
7,7,0.5,early_mover,Early Mover,123.684045403862,246.784573790224,1579.63956871199,269,5028,1529,3499
7,7,0.5,sequential,Sequential,120.87885313584,237.088938577919,1521.68368666912,271,5012,1667,3345
7,7,0.5,coordinated,Coordinated,120.304788881182,239.178867270945,1523.35684452428,265,5013,1641,3372
7,7,0.5,delayed_coordination,Delayed Coordination,119.819263009835,243.829215875599,1538.21570616957,279,5029,1663,3366
7,7,0.75,baseline,Baseline,125.190753686278,313.241083983099,2200.6463066579,125,2861,1029,1832
7,7,0.75,early_mover,Early Mover,131.855374726374,199.276634054071,1323.85769790704,283,5387,1137,4250
7,7,0.75,sequential,Sequential,119.572640375783,213.626257058812,1327.92635940484,250,4964,1178,3786
7,7,0.75,coordinated,Coordinated,106.927787830854,245.091174528955,1481.81849741845,230,4526,1240,3286
7,7,0.75,delayed_coordination,Delayed Coordination,124.442388736083,195.197483613544,1269.86248553337,287,5259,1161,4098
8,8,0.25,baseline,Baseline,125.245959682002,333.143988606944,2268.25310937299,127,2911,1130,1781
8,8,0.25,early_mover,Early Mover,113.333435266839,314.536798275295,2079.79781552635,165,3451,1386,2065
8,8,0.25,sequential,Sequential,112.68102894497,309.872053583676,2040.53016999674,178,3475,1379,2096
8,8,0.25,coordinated,Coordinated,114.042493950067,301.494522959432,2042.74798435583,176,3556,1382,2174
8,8,0.25,delayed_coordination,Delayed Coordination,113.338875115359,297.566240122281,2031.29983121638,176,3480,1385,2095
8,8,0.5,baseline,Baseline,125.245959682002,333.143988606944,2268.25310937299,127,2911,1130,1781
8,8,0.5,early_mover,Early Mover,120.834337327938,238.10389646501,1560.14788542524,265,5130,1631,3499
8,8,0.5,sequential,Sequential,118.248170315656,235.974348518491,1531.15507564673,257,5083,1700,3383
8,8,0.5,coordinated,Coordinated,118.537642777963,227.387320652565,1511.65107207032,269,5052,1660,3392
8,8,0.5,delayed_coordination,Delayed Coordination,118.310494728948,233.319551946239,1531.4516106633,262,5150,1636,3514
8,8,0.75,baseline,Baseline,125.245959682002,333.143988606944,2268.25310937299,127,2911,1130,1781
8,8,0.75,early_mover,Early Mover,110.991350203768,234.171593211542,1464.05503845554,233,4792,1051,3741
8,8,0.75,sequential,Sequential,106.547799506013,233.520948179916,1419.59121012266,219,4616,1055,3561
8,8,0.75,coordinated,Coordinated,94.5423473704105,246.238865096077,1632.75655584642,171,3876,992,2884
8,8,0.75,delayed_coordination,Delayed Coordination,106.510246070632,233.704863991655,1444.5244794027,214,4575,1042,3533
9,9,0.25,baseline,Baseline,127.99074617512,330.428575696783,2318.44593013309,116,2795,1165,1630
9,9,0.25,early_mover,Early Mover,117.884836784971,301.978187237834,2154.42921767497,139,3109,1460,1649
9,9,0.25,sequential,Sequential,115.762573258713,299.248627358295,2129.25275235948,142,3061,1455,1606
9,9,0.25,coordinated,Coordinated,115.351365586519,314.277456270306,2172.54693671393,127,2936,1371,1565
9,9,0.25,delayed_coordination,Delayed Coordination,115.337508300305,302.544779980683,2148.11000497347,127,3014,1441,1573
9,9,0.5,baseline,Baseline,127.99074617512,330.428575696783,2318.44593013309,116,2795,1165,1630
9,9,0.5,early_mover,Early Mover,126.359655297267,233.96132132355,1630.88068472619,241,4715,1818,2897
9,9,0.5,sequential,Sequential,122.315857851758,231.540831309036,1601.44591321614,233,4661,1832,2829
9,9,0.5,coordinated,Coordinated,118.164185300485,247.325460257382,1684.3588718152,248,4606,1830,2776
9,9,0.5,delayed_coordination,Delayed Coordination,120.897052226849,238.682612841184,1625.40217919759,232,4598,1820,2778
9,9,0.75,baseline,Baseline,127.99074617512,330.428575696783,2318.44593013309,116,2795,1165,1630
9,9,0.75,early_mover,Early Mover,130.967175704627,200.044614036921,1431.95411904761,249,4965,1251,3714
9,9,0.75,sequential,Sequential,117.71729298381,221.387503297161,1490.74499145934,200,4442,1195,3247
9,9,0.75,coordinated,Coordinated,116.197488687504,227.715595637977,1510.78324433375,207,4530,1268,3262
9,9,0.75,delayed_coordination,Delayed Coordination,124.404622755515,196.933204701421,1415.15336695673,224,4623,1220,3403
