replication,seed,policy_penalty,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
7,7,0.25,sequential,coordinated,-0.173996641762045,4.42045623396672,11.2604843854997,-100
7,7,0.25,sequential,delayed_coordination,0.246888494549452,1.14887934947802,26.8046673281879,-27
7,7,0.25,coordinated,delayed_coordination,0.420885136311497,-3.2715768844887,15.5441829426882,73
7,7,0.5,early_mover,sequential,1.32899724532628,6.25328455019257,47.3037688787686,-140
7,7,0.5,early_mover,coordinated,0.337377159181187,19.993201055336,87.0009078854309,-338
7,7,0.5,early_mover,delayed_coordination,4.56771553940047,-1.47637440402445,7.04126307972729,-23
7,7,0.5,sequential,coordinated,-0.99162008614509,13.7399165051435,39.6971390066624,-198
7,7,0.5,sequential,delayed_coordination,3.23871829407419,-7.72965895421703,-40.2625057990413,117
7,7,0.5,coordinated,delayed_coordination,4.23033838021928,-21.4695754593605,-79.9596448057036,315
7,7,0.75,early_mover,sequential,11.0048894098951,-5.26218982966324,-26.8963328934558,448
7,7,0.75,early_mover,coordinated,10.9054034321256,-18.0686957419051,-40.3280368504188,274
7,7,0.75,early_mover,delayed_coordination,2.37934674989802,13.7643304963724,61.222863641905,-29
7,7,0.75,sequential,coordinated,-0.0994859777694614,-12.8065059122418,-13.431703956963,-174
7,7,0.75,sequential,delayed_coordination,-8.62554265999704,19.0265203260356,88.1191965353607,-477
7,7,0.75,coordinated,delayed_coordination,-8.52605668222758,31.8330262382774,101.550900492324,-303
8,8,0.25,early_mover,sequential,2.64624022380274,0.544488542457941,-16.3523088823958,131
8,8,0.25,early_mover,coordinated,1.59859138314363,4.87829465856584,26.6949419129769,-122
8,8,0.25,early_mover,delayed_coordination,2.01601105813781,5.04813236033829,18.1798285014311,-46
8,8,0.25,sequential,coordinated,-1.04764884065911,4.33380611610789,43.0472507953727,-253
8,8,0.25,sequential,delayed_coordination,-0.630229165664929,4.50364381788035,34.5321373838269,-177
8,8,0.25,coordinated,delayed_coordination,0.417419674994179,0.169837701772451,-8.51511341154583,76
8,8,0.5,early_mover,sequential,5.80420275033485,-2.71370199019387,-31.0654118538444,77
8,8,0.5,early_mover,coordinated,5.53608906654733,-5.71226100018791,-75.1823326959704,144
8,8,0.5,early_mover,delayed_coordination,3.42057139901836,1.84286375162557,4.98054378569441,13
8,8,0.5,sequential,coordinated,-0.268113683787519,-2.99855900999404,-44.1169208421261,67
8,8,0.5,sequential,delayed_coordination,-2.3836313513165,4.55656574181944,36.0459556395388,-64
