replication,seed,cost_regime,eL,eG,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
8,8,low,0.05,0.1,delayed_coordination,Delayed Coordination,135.977474954165,164.696769012544,1240.46658686921,326,5470,1347,4123
8,8,baseline,0.1,0.2,baseline,Baseline,124.411283169884,344.552030241259,2373.25748789315,115,2261,551,1710
8,8,baseline,0.1,0.2,early_mover,Early Mover,121.304060658927,231.665043898074,1622.71959232611,271,4371,1149,3222
8,8,baseline,0.1,0.2,sequential,Sequential,115.499857908592,234.378745888268,1653.78500417996,261,4294,1171,3123
8,8,baseline,0.1,0.2,coordinated,Coordinated,115.767971592379,237.377304898262,1697.90192502208,248,4227,1173,3054
8,8,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,117.883489259908,229.822180146449,1617.73904854042,264,4358,1172,3186
8,8,high,0.2,0.4,baseline,Baseline,110.568743285923,406.030494847421,2855.77782932981,18,392,172,220
8,8,high,0.2,0.4,early_mover,Early Mover,86.8691623160624,376.075232303852,2679.55541723776,50,880,400,480
8,8,high,0.2,0.4,sequential,Sequential,82.563356197459,377.487639063546,2668.82650659938,47,852,405,447
8,8,high,0.2,0.4,coordinated,Coordinated,84.6818806465308,362.176177790892,2611.29396140017,57,1049,417,632
8,8,high,0.2,0.4,delayed_coordination,Delayed Coordination,83.770736809381,369.983560566258,2638.82150577736,65,963,438,525
9,9,low,0.05,0.1,baseline,Baseline,133.421382339418,327.086582198403,2264.20828161316,134,3078,632,2446
9,9,low,0.05,0.1,early_mover,Early Mover,148.188113826958,202.22106013786,1319.24776189399,316,5787,1682,4105
9,9,low,0.05,0.1,sequential,Sequential,145.011041423731,197.763828458749,1283.67752294707,317,5727,1845,3882
9,9,low,0.05,0.1,coordinated,Coordinated,138.519246771531,201.819255720082,1357.46974253881,329,5482,1698,3784
9,9,low,0.05,0.1,delayed_coordination,Delayed Coordination,144.677209554834,200.331271933566,1283.23673926061,321,5778,1751,4027
9,9,baseline,0.1,0.2,baseline,Baseline,126.134336117382,382.651208075247,2533.70637661774,102,2140,723,1417
9,9,baseline,0.1,0.2,early_mover,Early Mover,120.957762088491,262.874877904633,1756.3419483951,267,4176,1204,2972
9,9,baseline,0.1,0.2,sequential,Sequential,116.781642670766,260.378744118661,1795.72899660208,264,4113,1321,2792
9,9,baseline,0.1,0.2,coordinated,Coordinated,119.173098364895,268.676482254043,1741.29442952014,244,4152,1265,2887
9,9,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,118.844664856434,259.289461261696,1708.31321384727,259,4244,1257,2987
9,9,high,0.2,0.4,baseline,Baseline,113.530448048414,449.74427407315,2933.48217550436,25,476,227,249
9,9,high,0.2,0.4,early_mover,Early Mover,97.9327974775563,408.921068497493,2626.21433061885,88,1381,494,887
9,9,high,0.2,0.4,sequential,Sequential,95.9918347544989,401.502730749639,2577.43126165734,93,1452,554,898
9,9,high,0.2,0.4,coordinated,Coordinated,93.5942657404739,403.293332788276,2616.9259134228,90,1411,510,901
9,9,high,0.2,0.4,delayed_coordination,Delayed Coordination,96.6544701032528,401.842684323293,2558.87700289824,97,1501,568,933
10,10,low,0.05,0.1,baseline,Baseline,129.871131795294,335.531583189171,2300.11873358234,136,2859,544,2315
10,10,low,0.05,0.1,early_mover,Early Mover,143.904653466667,212.570816812456,1341.78440434583,298,5579,1281,4298
10,10,low,0.05,0.1,sequential,Sequential,139.245176138086,202.386111603518,1265.52976326071,315,5606,1363,4243
10,10,low,0.05,0.1,coordinated,Coordinated,135.06988642935,195.635539077096,1356.97090997908,286,5296,1516,3780
10,10,low,0.05,0.1,delayed_coordination,Delayed Coordination,141.52527980164,202.288522893302,1257.90318357281,318,5584,1333,4251
10,10,baseline,0.1,0.2,baseline,Baseline,121.12507650568,377.312450933345,2611.49638986085,87,1773,548,1225
10,10,baseline,0.1,0.2,early_mover,Early Mover,122.017903050189,269.116308479342,1830.55598704268,240,4265,977,3288
10,10,baseline,0.1,0.2,sequential,Sequential,121.872879253166,256.047833224991,1695.83250306106,269,4478,1031,3447
10,10,baseline,0.1,0.2,coordinated,Coordinated,121.812759230717,261.490199460016,1722.62174709098,273,4528,1120,3408
10,10,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,122.184603967106,258.900664659112,1695.17254554805,274,4486,1092,3394
10,10,high,0.2,0.4,baseline,Baseline,110.843326009099,437.656481366867,2975.64749256515,16,275,109,166
10,10,high,0.2,0.4,early_mover,Early Mover,92.8329843221313,399.304316190241,2668.38098255024,81,1219,478,741
10,10,high,0.2,0.4,sequential,Sequential,88.5139930975667,391.229182088145,2624.74152791018,77,1162,439,723
10,10,high,0.2,0.4,coordinated,Coordinated,89.2070895315953,382.091990663978,2610.58283951314,74,1259,392,867
10,10,high,0.2,0.4,delayed_coordination,Delayed Coordination,88.519001176828,385.952238014526,2608.77563586594,85,1192,471,721
11,11,low,0.05,0.1,baseline,Baseline,132.515364294919,319.544220410978,2218.58221826559,158,3158,636,2522
11,11,low,0.05,0.1,early_mover,Early Mover,130.644843114626,228.388565459046,1623.46972542687,270,4907,1174,3733
11,11,low,0.05,0.1,sequential,Sequential,128.672072677475,213.456967465293,1591.89853536709,273,4959,1229,3730
11,11,low,0.05,0.1,coordinated,Coordinated,135.885229676489,185.106175818399,1417.91761850501,297,5426,1341,4085
11,11,low,0.05,0.1,delayed_coordination,Delayed Coordination,129.163019724986,217.621782778767,1578.15414984065,282,4972,1246,3726
11,11,baseline,0.1,0.2,baseline,Baseline,122.538837882093,365.505860819239,2526.48078579143,107,2006,467,1539
11,11,baseline,0.1,0.2,early_mover,Early Mover,118.958112789984,271.051925374149,1899.99982054976,239,3863,906,2957
11,11,baseline,0.1,0.2,sequential,Sequential,120.06595640572,263.090725743482,1751.64306621395,256,4126,985,3141
11,11,baseline,0.1,0.2,coordinated,Coordinated,116.304090557919,263.573258379985,1824.60917131536,255,3996,953,3043
11,11,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,119.239300542657,258.06742376554,1785.40466901081,249,3947,924,3023
11,11,high,0.2,0.4,baseline,Baseline,111.241694670608,429.786968981947,2940.77648342256,19,369,147,222
11,11,high,0.2,0.4,early_mover,Early Mover,96.7408640448816,377.004233312353,2560.31613690708,100,1523,578,945
11,11,high,0.2,0.4,sequential,Sequential,94.478537331906,366.711607111245,2491.36199442454,112,1588,576,1012
11,11,high,0.2,0.4,coordinated,Coordinated,90.277303700849,383.008515820743,2592.53842292225,85,1418,466,952
11,11,high,0.2,0.4,delayed_coordination,Delayed Coordination,92.8965190806144,374.38901151257,2523.84486397036,100,1587,558,1029
12,12,low,0.05,0.1,baseline,Baseline,132.560405582818,294.359715754713,2100.17587934213,173,3686,656,3030
12,12,low,0.05,0.1,early_mover,Early Mover,137.227568489812,191.500140608543,1290.07762111173,326,5867,1331,4536
12,12,low,0.05,0.1,sequential,Sequential,134.525940198454,186.337727168179,1233.96297091611,336,5857,1366,4491
12,12,low,0.05,0.1,coordinated,Coordinated,134.822313352938,191.912611955381,1280.84505415787,336,5803,1390,4413
12,12,low,0.05,0.1,delayed_coordination,Delayed Coordination,134.380478605179,187.360339167158,1268.13465681809,319,5805,1365,4440
12,12,baseline,0.1,0.2,baseline,Baseline,124.307217503296,331.763044993455,2367.7325189163,133,2709,545,2164
12,12,baseline,0.1,0.2,early_mover,Early Mover,117.251908989849,235.844539155758,1697.78157869462,253,4609,1082,3527
12,12,baseline,0.1,0.2,sequential,Sequential,117.814575683454,226.244614942255,1600.74997558391,264,4646,1135,3511
12,12,baseline,0.1,0.2,coordinated,Coordinated,119.328826163881,233.360795434952,1602.78675655517,292,4730,1154,3576
12,12,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,118.900851897125,225.895532715774,1585.28815437803,268,4674,1119,3555
12,12,high,0.2,0.4,baseline,Baseline,109.956219267651,434.646570458885,2901.86025183995,25,483,206,277
12,12,high,0.2,0.4,early_mover,Early Mover,93.3478601276824,377.591667878905,2532.71532351207,107,1542,609,933
12,12,high,0.2,0.4,sequential,Sequential,91.5447524115328,364.00049754197,2447.47033817672,121,1693,641,1052
12,12,high,0.2,0.4,coordinated,Coordinated,93.5425722435538,362.052322203575,2476.5978755572,116,1784,609,1175
12,12,high,0.2,0.4,delayed_coordination,Delayed Coordination,90.7310427171746,367.30194716553,2465.08622221311,125,1683,608,1075
13,13,low,0.05,0.1,baseline,Baseline,131.704703275488,364.06689667927,2268.51207276757,146,3209,404,2805
13,13,low,0.05,0.1,early_mover,Early Mover,138.009612976913,207.192454877427,1359.02217462624,326,5808,1314,4494
13,13,low,0.05,0.1,sequential,Sequential,137.663398654999,198.896009483197,1241.88045035613,331,5850,1427,4423
13,13,low,0.05,0.1,coordinated,Coordinated,127.554248103973,219.087553270327,1360.78001056838,270,5147,1325,3822
13,13,low,0.05,0.1,delayed_coordination,Delayed Coordination,137.918163833579,196.555447691506,1247.82882725482,320,5787,1432,4355
13,13,baseline,0.1,0.2,baseline,Baseline,124.243023609303,377.687743761073,2454.8957992683,119,2364,514,1850
13,13,baseline,0.1,0.2,early_mover,Early Mover,120.847734091098,249.186874198747,1667.53457003904,280,4565,1212,3353
13,13,baseline,0.1,0.2,sequential,Sequential,120.20140661086,239.166262779787,1569.60241921477,309,4669,1318,3351
13,13,baseline,0.1,0.2,coordinated,Coordinated,116.783487151579,252.421879739488,1625.92295867292,261,4315,1281,3034
13,13,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,119.737545883678,242.049734340509,1606.19914645275,283,4580,1297,3283
13,13,high,0.2,0.4,baseline,Baseline,111.514484638872,443.031279163425,2905.0404223723,23,503,208,295
13,13,high,0.2,0.4,early_mover,Early Mover,94.8906379889888,382.790551215861,2514.11505449647,110,1625,667,958
13,13,high,0.2,0.4,sequential,Sequential,93.146774622087,371.378576393854,2408.62294151766,137,1821,713,1108
13,13,high,0.2,0.4,coordinated,Coordinated,91.2681541727144,383.01837223909,2511.81051755529,96,1582,559,1023
13,13,high,0.2,0.4,delayed_coordination,Delayed Coordination,93.0717881016575,373.69916580109,2443.67038707894,122,1728,692,1036
14,14,low,0.05,0.1,baseline,Baseline,134.007749027186,311.414067105442,2271.61178778522,129,2825,552,2273
14,14,low,0.05,0.1,early_mover,Early Mover,142.199324577552,189.428057239466,1382.69285247852,306,5402,1393,4009
14,14,low,0.05,0.1,sequential,Sequential,137.821333414823,183.219437107871,1359.62515170068,307,5388,1417,3971
14,14,low,0.05,0.1,coordinated,Coordinated,138.189100474896,192.500267573691,1327.83530750139,314,5268,1478,3790
14,14,low,0.05,0.1,delayed_coordination,Delayed Coordination,137.04051415244,186.975828041475,1364.40755472784,306,5363,1432,3931
14,14,baseline,0.1,0.2,baseline,Baseline,123.875449154238,359.58021065883,2555.11600260768,87,1738,486,1252
14,14,baseline,0.1,0.2,early_mover,Early Mover,120.724760998912,255.727853800537,1805.59777208237,219,3732,1138,2594
14,14,baseline,0.1,0.2,sequential,Sequential,117.559176377306,254.048609814001,1777.74349913543,202,3657,1129,2528
14,14,baseline,0.1,0.2,coordinated,Coordinated,121.595032099686,239.966326459186,1678.73349408287,248,3869,1168,2701
14,14,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,114.565827971312,282.036754452373,1855.20618800299,191,3542,1097,2445
14,14,high,0.2,0.4,baseline,Baseline,113.523568909545,419.038571271115,2917.73932909054,18,303,133,170
14,14,high,0.2,0.4,early_mover,Early Mover,94.6333920566334,386.284416725697,2641.86699910131,74,1100,435,665
14,14,high,0.2,0.4,sequential,Sequential,92.7099516555486,378.560101954836,2609.18979438521,81,1125,414,711
14,14,high,0.2,0.4,coordinated,Coordinated,93.0834805410101,370.630420234144,2592.16451860878,86,1242,416,826
14,14,high,0.2,0.4,delayed_coordination,Delayed Coordination,93.1850960602521,378.376494591397,2599.98754658382,85,1169,429,740
15,15,low,0.05,0.1,baseline,Baseline,130.774135507706,325.891297397778,2313.03470469981,128,2807,613,2194
15,15,low,0.05,0.1,early_mover,Early Mover,137.045206457747,191.282899540333,1477.78228615289,287,5116,1150,3966
15,15,low,0.05,0.1,sequential,Sequential,135.044462403916,182.732879036303,1403.74041149735,289,5205,1286,3919
15,15,low,0.05,0.1,coordinated,Coordinated,136.253007783609,187.251098938824,1397.80383109108,288,5120,1416,3704
15,15,low,0.05,0.1,delayed_coordination,Delayed Coordination,132.818557173133,188.732999485794,1439.26400773399,282,5061,1215,3846
15,15,baseline,0.1,0.2,baseline,Baseline,123.695300625095,369.101920317739,2565.16332384631,99,1896,513,1383
15,15,baseline,0.1,0.2,early_mover,Early Mover,120.776963739994,253.012198389068,1868.90036909945,223,3856,1058,2798
15,15,baseline,0.1,0.2,sequential,Sequential,119.394404160417,244.167126160611,1793.08643045997,251,3973,1127,2846
15,15,baseline,0.1,0.2,coordinated,Coordinated,120.671890069632,235.089836208596,1727.56532346342,238,4100,1117,2983
15,15,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,119.82562739298,233.862223462918,1780.43505083674,238,3952,1135,2817
15,15,high,0.2,0.4,baseline,Baseline,113.667696065227,445.345924121032,2933.16977626986,24,491,135,356
15,15,high,0.2,0.4,early_mover,Early Mover,96.733117293159,410.441901860338,2628.983075698,83,1342,518,824
15,15,high,0.2,0.4,sequential,Sequential,95.3672568535429,405.775440468361,2573.68604211395,90,1455,550,905
15,15,high,0.2,0.4,coordinated,Coordinated,94.9076027893139,394.525238693681,2582.59465207656,82,1462,517,945
15,15,high,0.2,0.4,delayed_coordination,Delayed Coordination,95.1911415803974,405.147623129685,2580.7963448521,94,1458,545,913
16,16,low,0.05,0.1,baseline,Baseline,132.46321232233,303.554897928667,2152.79521840258,153,3279,494,2785
16,16,low,0.05,0.1,early_mover,Early Mover,142.565152805122,193.076000186786,1349.48815091835,328,5601,1460,4141
16,16,low,0.05,0.1,sequential,Sequential,139.14177889714,179.457391074307,1303.88595738307,329,5591,1533,4058
16,16,low,0.05,0.1,coordinated,Coordinated,138.269826704017,177.486013647535,1293.28085629133,327,5645,1530,4115
16,16,low,0.05,0.1,delayed_coordination,Delayed Coordination,139.709490187832,187.769994297921,1295.92253450792,330,5691,1516,4175
16,16,baseline,0.1,0.2,baseline,Baseline,124.373982222118,349.242642682057,2409.87022510275,117,2295,548,1747
16,16,baseline,0.1,0.2,early_mover,Early Mover,120.612719385895,265.159154081374,1862.64893338528,210,3645,1190,2455
16,16,baseline,0.1,0.2,sequential,Sequential,120.083274614578,245.303050847697,1802.55775446332,222,3774,1227,2547
16,16,baseline,0.1,0.2,coordinated,Coordinated,115.207392595186,250.575065213304,1854.92754518827,234,3742,1154,2588
16,16,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,121.123040482823,244.903789352344,1787.51282176038,232,3788,1224,2564
16,16,high,0.2,0.4,baseline,Baseline,110.686084976524,432.64423937021,2904.42867303053,15,312,141,171
