replication,cost_regime,lowest_risk_scenario,lowest_final_risk
22,low,sequential,194.792350456005
22,baseline,delayed_coordination,226.127904047342
22,high,coordinated,369.879967049913
23,low,sequential,183.622254647704
23,baseline,coordinated,268.353567415466
23,high,delayed_coordination,369.815053793328
24,low,delayed_coordination,177.100265939986
24,baseline,delayed_coordination,226.604580379117
24,high,delayed_coordination,339.422700484139
25,low,sequential,219.283228645066
25,baseline,sequential,287.940969156219
25,high,sequential,352.073679408967
26,low,sequential,188.432841660731
26,baseline,sequential,234.614772413392
26,high,coordinated,352.973339774591
27,low,delayed_coordination,179.644457063462
27,baseline,sequential,229.318130369392
27,high,delayed_coordination,342.291741400817
28,low,sequential,213.942338886541
28,baseline,sequential,244.924963745588
28,high,sequential,360.123598931011
29,low,delayed_coordination,166.87161173948
29,baseline,sequential,214.674722493752
29,high,delayed_coordination,328.66083506402
30,low,coordinated,187.16801835833
30,baseline,delayed_coordination,248.853383655047
30,high,sequential,351.982417092896
31,low,sequential,181.610332584737
31,baseline,delayed_coordination,208.634795000645
31,high,sequential,330.822594537032
32,low,delayed_coordination,183.365239714016
32,baseline,sequential,246.519429983052
32,high,delayed_coordination,359.418154997204
33,low,sequential,185.788373495719
33,baseline,sequential,240.855900047394
33,high,coordinated,374.905782135586
34,low,sequential,180.437738049302
34,baseline,sequential,235.535462818092
34,high,delayed_coordination,335.439148599469
35,low,coordinated,168.120588641722
35,baseline,coordinated,235.85345618497
35,high,delayed_coordination,329.864541505387
36,low,delayed_coordination,185.234775701154
36,baseline,delayed_coordination,237.397255381292
36,high,delayed_coordination,326.296475867368
37,low,sequential,181.798614637486
37,baseline,coordinated,213.886674405249
37,high,sequential,332.165688521902
38,low,delayed_coordination,197.394368753219
38,baseline,sequential,247.015895795417
38,high,sequential,370.047438073933
39,low,sequential,177.604638158633
39,baseline,delayed_coordination,188.533903235838
39,high,coordinated,360.731569785411
40,low,delayed_coordination,199.354090490976
40,baseline,sequential,223.037297390459
40,high,sequential,336.17050817029
41,low,sequential,181.491049887221
41,baseline,delayed_coordination,258.57686595358
41,high,coordinated,351.529605315079
42,low,sequential,186.254703426065
42,baseline,delayed_coordination,229.014433113698
42,high,coordinated,359.560243379801
43,low,coordinated,166.71631080736
43,baseline,sequential,216.711247778695
43,high,coordinated,351.929163998766
44,low,sequential,199.881812830352
44,baseline,sequential,237.746675432423
44,high,sequential,375.276426554999
45,low,delayed_coordination,200.194616185682
45,baseline,coordinated,237.716588698564
45,high,sequential,354.007050494508
46,low,sequential,192.357520849089
46,baseline,sequential,237.97063859438
46,high,delayed_coordination,357.754109655489
47,low,sequential,176.841724491964
47,baseline,early_mover,244.976334654132
47,high,delayed_coordination,349.554705221968
48,low,delayed_coordination,177.066875603738
48,baseline,delayed_coordination,272.072264518476
48,high,delayed_coordination,354.403513271858
49,low,coordinated,200.750341314731
49,baseline,coordinated,244.367313287725
49,high,delayed_coordination,363.889622941599
50,low,delayed_coordination,182.268211727094
50,baseline,coordinated,234.178604333378
50,high,coordinated,329.298851130391
51,low,delayed_coordination,184.834576116478
51,baseline,delayed_coordination,216.162700628897
51,high,sequential,343.459585854399
52,low,delayed_coordination,190.594336978761
52,baseline,sequential,240.638254205152
52,high,delayed_coordination,358.426594332713
53,low,sequential,166.525583938683
53,baseline,sequential,222.787619780668
53,high,delayed_coordination,365.629705101988
54,low,delayed_coordination,165.31005872243
54,baseline,sequential,222.250145346605
54,high,sequential,328.770058509929
55,low,sequential,205.216085225915
55,baseline,delayed_coordination,305.012121704474
55,high,delayed_coordination,353.279070092058
56,low,early_mover,194.437858062781
56,baseline,sequential,246.417748794345
56,high,coordinated,353.144821041158
57,low,sequential,192.305623665011
57,baseline,coordinated,253.635505894798
57,high,coordinated,337.311104708555
58,low,sequential,181.951794122307
58,baseline,coordinated,232.624389650813
58,high,delayed_coordination,367.607606495501
59,low,sequential,194.110331020465
59,baseline,delayed_coordination,226.603635023021
59,high,delayed_coordination,366.592247607419
60,low,sequential,186.012390184199
60,baseline,sequential,219.549449964681
60,high,delayed_coordination,366.159957508257
61,low,coordinated,180.577385260794
61,baseline,sequential,222.579537067718
61,high,early_mover,319.679416119801
62,low,early_mover,182.639739104551
