replication,seed,recoveryHorizon,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
29,29,5,baseline,Baseline,129.037066993585,305.010777454786,2233.56764127595,136,3327,1044,2283
29,29,5,early_mover,Early Mover,126.45907570253,216.3795932513,1611.51876896182,274,5280,1816,3464
29,29,5,sequential,Sequential,125.846834172199,214.674722493752,1522.86560168508,285,5306,1862,3444
29,29,5,coordinated,Coordinated,123.26176108053,219.180351517578,1568.42567592571,303,5291,1851,3440
29,29,5,delayed_coordination,Delayed Coordination,123.006195486447,214.864852685979,1560.37550662005,284,5318,1872,3446
29,29,7,baseline,Baseline,129.356699502457,307.313115098396,2229.88410779645,140,3358,1051,2307
29,29,7,early_mover,Early Mover,130.086918246967,212.363858509777,1525.96139266879,293,5371,1776,3595
29,29,7,sequential,Sequential,124.661996873459,210.383625686139,1509.92415174385,317,5419,1862,3557
29,29,7,coordinated,Coordinated,129.608206159885,209.73954764094,1490.26467817127,291,5346,1828,3518
29,29,7,delayed_coordination,Delayed Coordination,127.627122801847,203.46780260336,1481.51646439176,308,5465,1850,3615
30,30,3,baseline,Baseline,128.779173158887,337.214337109862,2316.60896676418,112,2788,1189,1599
30,30,3,early_mover,Early Mover,120.46904104982,250.496483043404,1758.67949787115,215,4308,1650,2658
30,30,3,sequential,Sequential,117.208165338384,248.381854174072,1723.29898386168,219,4337,1696,2641
30,30,3,coordinated,Coordinated,116.66451615246,260.237096065852,1793.91881688285,230,4274,1686,2588
30,30,3,delayed_coordination,Delayed Coordination,117.680466616987,251.843084285212,1741.04435005088,217,4325,1649,2676
30,30,5,baseline,Baseline,127.372537620076,340.704187610911,2342.85360275288,110,2599,1111,1488
30,30,5,early_mover,Early Mover,120.08014978389,259.165409040523,1823.18651812331,210,4222,1584,2638
30,30,5,sequential,Sequential,118.227195897057,257.037926909716,1750.54922048735,240,4308,1685,2623
30,30,5,coordinated,Coordinated,116.010398661441,257.564145489519,1807.1542031432,236,4293,1636,2657
30,30,5,delayed_coordination,Delayed Coordination,121.307935273761,248.853383655047,1705.17607756443,248,4475,1676,2799
30,30,7,baseline,Baseline,128.439423466858,337.224372453738,2327.11005681078,104,2629,1143,1486
30,30,7,early_mover,Early Mover,115.452544993155,268.805729610352,1862.02740556766,227,3948,1519,2429
30,30,7,sequential,Sequential,114.214049106755,264.189975906093,1815.32961545471,213,3899,1558,2341
30,30,7,coordinated,Coordinated,111.738568928342,266.037162452386,1872.7204933144,205,3927,1562,2365
30,30,7,delayed_coordination,Delayed Coordination,114.383214952891,255.887102010779,1810.47419912249,226,4046,1600,2446
31,31,3,baseline,Baseline,128.329370315103,327.468142815876,2277.0703340825,116,2799,1020,1779
31,31,3,early_mover,Early Mover,129.049430528235,216.483616621692,1533.76815845932,274,5244,1635,3609
31,31,3,sequential,Sequential,124.059813376478,209.872577746238,1485.87600987104,288,5257,1709,3548
31,31,3,coordinated,Coordinated,121.636956616256,223.108918657195,1600.30573858391,270,4844,1748,3096
31,31,3,delayed_coordination,Delayed Coordination,125.844611979984,210.318876960058,1486.17110980537,265,5237,1689,3548
31,31,5,baseline,Baseline,129.274033450243,319.807345600082,2255.40130886923,125,2849,1019,1830
31,31,5,early_mover,Early Mover,133.426529236322,214.43814883905,1508.13925474685,282,5255,1659,3596
31,31,5,sequential,Sequential,126.640735755434,214.12758838419,1489.55265064281,298,5195,1675,3520
31,31,5,coordinated,Coordinated,119.600058473257,232.13767188199,1594.79424127432,252,4530,1669,2861
31,31,5,delayed_coordination,Delayed Coordination,127.654454591205,208.634795000645,1475.52878977026,288,5238,1693,3545
31,31,7,baseline,Baseline,127.635024993317,328.172056151178,2309.01409176327,113,2725,994,1731
31,31,7,early_mover,Early Mover,127.403739849609,225.552665472803,1569.88699223702,284,4853,1674,3179
31,31,7,sequential,Sequential,122.559018812568,218.812950307863,1539.75142354829,278,4809,1690,3119
31,31,7,coordinated,Coordinated,124.358336587685,211.410314264804,1554.48515216377,281,4699,1642,3057
31,31,7,delayed_coordination,Delayed Coordination,123.404886639844,219.651557526936,1525.2396985128,278,4847,1698,3149
32,32,3,baseline,Baseline,126.210291024516,358.782322930049,2351.40894773382,114,2916,1037,1879
32,32,3,early_mover,Early Mover,119.988239736451,272.436681206507,1767.30233839774,239,4744,1670,3074
32,32,3,sequential,Sequential,117.939467345427,266.873820427595,1713.00729143756,250,4744,1744,3000
32,32,3,coordinated,Coordinated,119.694195193458,272.602394925912,1720.90070138485,234,4550,1741,2809
32,32,3,delayed_coordination,Delayed Coordination,116.669218752322,265.027302334396,1709.883574148,245,4717,1726,2991
32,32,5,baseline,Baseline,125.88325992437,358.804389536987,2355.19276552215,116,2915,1013,1902
32,32,5,early_mover,Early Mover,121.643809072626,250.660872038788,1706.44305839995,238,4744,1729,3015
32,32,5,sequential,Sequential,118.670810424502,246.519429983052,1661.14983128908,253,4644,1760,2884
32,32,5,coordinated,Coordinated,117.788956135187,269.515290850829,1742.07828766479,241,4491,1678,2813
32,32,5,delayed_coordination,Delayed Coordination,119.66871798246,247.119968787285,1636.88268106409,257,4726,1742,2984
32,32,7,baseline,Baseline,125.500661584067,359.188075673637,2366.16330814669,116,2875,1016,1859
32,32,7,early_mover,Early Mover,125.349267284684,254.455152817007,1620.37592237875,272,4988,1690,3298
32,32,7,sequential,Sequential,123.843468763476,249.934554878191,1574.07297981416,278,4882,1798,3084
32,32,7,coordinated,Coordinated,121.042138616865,262.277335884171,1728.71466921289,238,4508,1754,2754
32,32,7,delayed_coordination,Delayed Coordination,122.140997786667,251.765723019634,1590.02060218386,267,4951,1760,3191
33,33,3,baseline,Baseline,127.63304518801,353.281243665988,2441.40756165375,109,2755,1032,1723
33,33,3,early_mover,Early Mover,114.866085520617,254.165019150004,1863.47845678177,222,4391,1412,2979
33,33,3,sequential,Sequential,113.068760778367,242.307937610083,1790.21592684362,223,4455,1561,2894
33,33,3,coordinated,Coordinated,114.324292028893,240.795377921542,1778.77322219814,244,4349,1544,2805
33,33,3,delayed_coordination,Delayed Coordination,112.983747331405,241.427718010662,1802.28096320064,232,4438,1469,2969
33,33,5,baseline,Baseline,127.372980772755,354.232042580359,2449.83114789368,101,2681,996,1685
33,33,5,early_mover,Early Mover,117.466796358437,249.440685023684,1819.07121840606,227,4605,1502,3103
33,33,5,sequential,Sequential,115.772427796583,240.855900047394,1758.87184495463,232,4634,1523,3111
33,33,5,coordinated,Coordinated,115.107463749463,244.335280405944,1757.28541166662,243,4658,1646,3012
33,33,5,delayed_coordination,Delayed Coordination,114.26123821491,244.466660996108,1783.69443361322,205,4454,1511,2943
33,33,7,baseline,Baseline,127.454916771424,352.129550309663,2431.71987081138,110,2760,1031,1729
33,33,7,early_mover,Early Mover,119.94308597241,237.020747604749,1739.11711453242,244,4767,1498,3269
33,33,7,sequential,Sequential,115.733734432636,234.006650313231,1712.27876555946,244,4720,1537,3183
33,33,7,coordinated,Coordinated,112.944554525266,245.755911084634,1771.21714292015,226,4408,1555,2853
33,33,7,delayed_coordination,Delayed Coordination,117.408684230388,230.390103922,1696.94391440282,250,4731,1551,3180
34,34,3,baseline,Baseline,127.417509792724,334.919139006117,2266.97504157711,124,3033,1181,1852
34,34,3,early_mover,Early Mover,127.895256315909,226.617059089273,1580.02164076217,270,5059,1636,3423
34,34,3,sequential,Sequential,125.416039331732,219.416801602974,1553.3959783476,251,4995,1741,3254
34,34,3,coordinated,Coordinated,115.899380702192,244.9008562918,1693.03173312833,220,4519,1597,2922
34,34,3,delayed_coordination,Delayed Coordination,123.967780361521,224.528049681311,1583.69029496047,250,4996,1688,3308
34,34,5,baseline,Baseline,128.455000813718,330.466733310318,2239.28357370343,126,3067,1188,1879
34,34,5,early_mover,Early Mover,127.702953115004,245.41657940189,1613.63588159953,245,4823,1587,3236
34,34,5,sequential,Sequential,125.348915564008,235.535462818092,1563.81529214667,265,4898,1665,3233
34,34,5,coordinated,Coordinated,124.445034736034,244.307617481079,1605.21640821139,242,4810,1658,3152
34,34,5,delayed_coordination,Delayed Coordination,123.876875127924,240.110557864279,1584.37400583709,256,4896,1658,3238
34,34,7,baseline,Baseline,127.374023853048,332.38338190364,2256.36041340154,132,3007,1131,1876
34,34,7,early_mover,Early Mover,127.104120581892,247.564883983184,1628.10341614181,264,4941,1642,3299
34,34,7,sequential,Sequential,125.626508312843,228.684965244836,1564.59682214168,266,4957,1748,3209
34,34,7,coordinated,Coordinated,122.319005985376,230.470393720331,1603.1247843494,267,4668,1610,3058
34,34,7,delayed_coordination,Delayed Coordination,125.591207933697,225.291846876579,1566.69441777913,274,5006,1702,3304
35,35,3,baseline,Baseline,126.653210336586,322.920235301823,2164.18123897273,148,3331,1164,2167
35,35,3,early_mover,Early Mover,115.313137625056,251.43152332141,1672.39702876968,237,4747,1625,3122
35,35,3,sequential,Sequential,116.459592572218,231.908530186412,1571.08435740794,283,5132,1705,3427
35,35,3,coordinated,Coordinated,116.489534493665,237.434662287892,1590.78201136804,276,5298,1729,3569
