replication,recovery_horizon,lowest_risk_scenario,lowest_final_risk
58,3,delayed_coordination,220.311330010506
58,5,sequential,215.635157961391
58,7,delayed_coordination,213.283356432506
59,3,sequential,222.079588290918
59,5,sequential,215.695518544416
59,7,coordinated,218.82727764364
60,3,early_mover,252.828377651244
60,5,sequential,240.58929903968
60,7,delayed_coordination,245.841877537195
61,3,sequential,198.761549727643
61,5,sequential,213.897202291304
61,7,delayed_coordination,211.671103688919
62,3,delayed_coordination,271.881631110285
62,5,delayed_coordination,241.712116627199
62,7,delayed_coordination,203.2226852653
63,3,sequential,219.654111999312
63,5,delayed_coordination,224.672695843958
63,7,delayed_coordination,212.886459668554
64,3,sequential,236.281104684148
64,5,delayed_coordination,257.611496833967
64,7,delayed_coordination,238.022512648691
65,3,sequential,226.156151434091
65,5,delayed_coordination,225.244075690062
65,7,delayed_coordination,221.553720007576
66,3,delayed_coordination,208.203881762901
66,5,sequential,201.687375357161
66,7,coordinated,211.749126388032
67,3,coordinated,242.701415113964
67,5,delayed_coordination,252.442424385809
67,7,coordinated,245.698638764814
68,3,delayed_coordination,233.448980184108
68,5,sequential,231.247553663818
68,7,delayed_coordination,225.12094324985
69,3,sequential,221.115540348855
69,5,delayed_coordination,213.598536683638
69,7,sequential,222.782201855261
70,3,sequential,235.675275765433
70,5,sequential,240.744727142788
70,7,delayed_coordination,259.897382180606
71,3,coordinated,244.475325637123
71,5,sequential,240.337068098671
71,7,coordinated,230.306389128892
72,3,sequential,251.304566510655
72,5,delayed_coordination,230.91427920271
72,7,delayed_coordination,232.127518463546
73,3,early_mover,282.947144327753
73,5,sequential,292.988455391795
73,7,delayed_coordination,293.397716812954
74,3,coordinated,259.93389043851
74,5,delayed_coordination,258.815196512895
74,7,delayed_coordination,250.693716643649
75,3,coordinated,248.66993837176
75,5,coordinated,250.928504971317
75,7,coordinated,256.078039115667
76,3,delayed_coordination,242.819555267329
76,5,sequential,236.633642546891
76,7,coordinated,245.147733858375
77,3,early_mover,269.662961905734
77,5,sequential,261.121181591774
77,7,sequential,261.279626972829
78,3,coordinated,270.011485247097
78,5,sequential,263.891327925144
78,7,sequential,256.897887457275
79,3,coordinated,257.276835375314
79,5,sequential,236.435046127864
79,7,delayed_coordination,248.925274819305
80,3,sequential,233.257551753256
80,5,sequential,218.288763650782
80,7,delayed_coordination,211.895457636373
81,3,coordinated,244.579258617317
81,5,sequential,227.923811916192
81,7,delayed_coordination,233.785507128798
82,3,delayed_coordination,245.08634861485
82,5,delayed_coordination,234.351098655906
82,7,coordinated,237.884628960646
83,3,delayed_coordination,247.774486212367
83,5,coordinated,257.535853746621
83,7,sequential,238.911365308523
84,3,coordinated,242.16476228682
84,5,coordinated,234.376769025243
84,7,coordinated,232.14675023614
85,3,early_mover,256.78309389877
85,5,delayed_coordination,239.753015897196
85,7,sequential,249.372179193593
86,3,coordinated,297.896155228342
86,5,delayed_coordination,279.194073839854
86,7,delayed_coordination,278.640657394543
87,3,delayed_coordination,252.892414897382
87,5,coordinated,252.215737383037
87,7,sequential,267.966687087749
88,3,sequential,264.034521880798
88,5,coordinated,263.265372421963
88,7,sequential,260.62617388768
89,3,sequential,264.268016149251
89,5,coordinated,251.509526716823
89,7,coordinated,258.055607726502
90,3,delayed_coordination,240.606600127614
90,5,delayed_coordination,257.200875854643
90,7,sequential,243.072965469764
91,3,sequential,259.681679545417
91,5,coordinated,249.281860590835
91,7,coordinated,257.098119057689
92,3,delayed_coordination,208.03891097267
92,5,delayed_coordination,225.519572343309
92,7,sequential,234.791601716244
93,3,sequential,231.384994217202
93,5,delayed_coordination,244.379755670665
93,7,delayed_coordination,229.718763038754
94,3,coordinated,276.322725337806
94,5,sequential,257.08666470933
94,7,sequential,255.932800278178
95,3,delayed_coordination,244.357729831359
95,5,delayed_coordination,240.019158514166
95,7,coordinated,244.048423529546
96,3,early_mover,261.720929679581
96,5,delayed_coordination,263.896928771889
96,7,coordinated,259.367096139522
97,3,delayed_coordination,203.45558995555
97,5,sequential,207.291825208756
97,7,delayed_coordination,203.107899927214
98,3,delayed_coordination,248.498176275902
98,5,delayed_coordination,258.429811900926
98,7,sequential,247.162859209685
99,3,delayed_coordination,225.116175018732
99,5,delayed_coordination,224.847869872952
99,7,delayed_coordination,225.869201031665
100,3,delayed_coordination,233.233898260324
100,5,delayed_coordination,228.597308535232
100,7,delayed_coordination,232.105625023871
