replication,seed,recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
12,12,5,coordinated,delayed_coordination,-1.86903519687709,17.6417019908563,96.4897475379018,-122
12,12,7,early_mover,sequential,-0.283602993410042,20.6740058925797,109.787128157848,-207
12,12,7,early_mover,coordinated,5.13620834335148,10.3161502808055,-2.81907886794556,16
12,12,7,early_mover,delayed_coordination,4.16149321391781,15.2162974287028,49.4749311612418,-104
12,12,7,sequential,coordinated,5.41981133676153,-10.3578556117743,-112.606207025793,223
12,12,7,sequential,delayed_coordination,4.44509620732785,-5.45770846387688,-60.3121969966057,103
12,12,7,coordinated,delayed_coordination,-0.974715129433676,4.90014714789737,52.2940100291873,-120
13,13,3,early_mover,sequential,2.05236553565102,13.6415684530205,78.2539081188077,-99
13,13,3,early_mover,coordinated,4.15068198175989,0.115203501002497,8.12319583764247,-72
13,13,3,early_mover,delayed_coordination,1.37372512801406,10.2829566778364,64.294057585493,-96
13,13,3,sequential,coordinated,2.09831644610887,-13.526364952018,-70.1307122811652,27
13,13,3,sequential,delayed_coordination,-0.678640407636962,-3.3586117751841,-13.9598505333147,3
13,13,3,coordinated,delayed_coordination,-2.77695685374583,10.1677531768339,56.1708617478505,-24
13,13,5,early_mover,sequential,0.957826567839817,11.6488274432537,53.2930512601697,-126
13,13,5,early_mover,coordinated,0.0314760229965714,12.2265060589399,65.9722408915261,-77
13,13,5,early_mover,delayed_coordination,1.9989500170185,7.01775061150801,41.9618785316943,-61
13,13,5,sequential,coordinated,-0.926350544843245,0.577678615686182,12.6791896313564,49
13,13,5,sequential,delayed_coordination,1.04112344917868,-4.6310768317457,-11.3311727284754,65
13,13,5,coordinated,delayed_coordination,1.96747399402193,-5.20875544743188,-24.0103623598318,16
13,13,7,early_mover,sequential,1.86626988140563,15.1680914334757,63.3510546336461,-113
13,13,7,early_mover,coordinated,-1.37136013945528,11.355867243281,81.7062084729241,-122
13,13,7,early_mover,delayed_coordination,1.38283207742388,10.7633494804401,53.1011069638894,-100
13,13,7,sequential,coordinated,-3.23763002086091,-3.81222419019468,18.355153839278,-9
13,13,7,sequential,delayed_coordination,-0.483437803981744,-4.40474195303563,-10.2499476697567,13
13,13,7,coordinated,delayed_coordination,2.75419221687916,-0.592517762840941,-28.6051015090347,22
14,14,3,early_mover,sequential,4.76458603428084,11.3306253189917,11.7798713513728,88
14,14,3,early_mover,coordinated,6.55708108965349,-9.22482728933841,-62.9306051215758,272
14,14,3,early_mover,delayed_coordination,3.84558085586491,7.30722074371107,9.31161431391752,93
14,14,3,sequential,coordinated,1.79249505537265,-20.5554526083301,-74.7104764729486,184
14,14,3,sequential,delayed_coordination,-0.919005178415929,-4.02340457528067,-2.46825703745526,5
14,14,3,coordinated,delayed_coordination,-2.71150023378858,16.5320480330495,72.2422194354933,-179
14,14,5,early_mover,sequential,5.93542955308007,-1.28260549399494,-0.294216848793894,74
14,14,5,early_mover,coordinated,4.2146409088694,-0.775523092578709,20.1993970027984,-41
14,14,5,early_mover,delayed_coordination,3.15377214447282,3.16066221743691,33.7565533749826,-57
14,14,5,sequential,coordinated,-1.72078864421067,0.507082401416227,20.4936138515923,-115
14,14,5,sequential,delayed_coordination,-2.78165740860724,4.44326771143184,34.0507702237765,-131
14,14,5,coordinated,delayed_coordination,-1.06086876439657,3.93618531001562,13.5571563721842,-16
